12837
52 9 21	Eliana Gonzalez
65 10 17	Wilson Wagner
75 9 27	Ronald Coleman
48 2 20	Walter Hughes
23 10 2	Jane George
81 2 9	Janet Hines
27 2 2	Valerie Parker
87 11 14	Kelly Cox
25 10 28	Wayne Murphy
57 2 0	Alejandro Alexander
86 7 0	Dennis Drake
35 8 3	Marjorie Simpson
80 6 15	See Flynn
28 9 6	Wayne Young
39 3 3	David Hines
17 9 15	Aida Taylor
16 8 7	Herma Hubbard
42 2 3	Earnest Sanchez
76 8 15	Herma Moran
41 0 2	Bryant Mitchell
54 3 16	Germaine Main
82 4 4	Dexter Turner
90 7 9	Janice Ward
35 7 15	Janice Huddleston
62 10 2	Randee Bass
8 10 3	Jason Hines
58 0 15	Rose Nelson
31 3 2	Annie Jones
58 9 29	Andre Lindsey
61 9 14	Sharon Campbell
17 0 10	Maddie Lamb
85 5 16	Niki Yoon
72 10 17	Candelaria Taylor
64 4 19	Alejandro Barth
56 8 5	Jackie Hubbard
42 6 1	Christine Richardson
18 4 10	Ashley Carter
77 10 25	Terence Hindman
54 10 0	Clarence Hudson
15 10 20	Gerard Moran
46 6 1	Vera Barrett
36 11 20	Anthony Torres
15 0 15	Nicholas Sterling
35 2 12	Ronald Roy
14 4 18	Calvin Drake
25 7 7	Ernest Meyer
56 6 28	Clarence Tiller
19 2 1	Glennis Washington
73 2 29	Val Foster
39 0 15	Ken Dennis
82 4 21	Nicholas Harris
18 2 7	Gary Reeves
30 3 27	Andrew Wilkins
55 6 2	Elvina Torres
27 5 17	Melissa Benton
46 11 16	Glennis Rhodes
55 1 25	Jane Fleming
28 4 21	Dennis Barlow
16 6 22	Stasia Morgan
80 6 4	Gregory Hines
61 5 1	Rachel Allen
74 1 8	Fred Vega
86 11 2	Ramiro Gracia
8 11 24	Sharon Gonzales
66 0 28	Eloise George
27 1 10	Valerie Brockman
21 9 1	Patricia Ball
71 0 13	Bryant Neal
26 5 21	Walter Vega
48 9 26	Andres Morris
87 0 22	Wilmer Vargas
55 9 20	Marion Adams
89 0 3	Terence Wilkins
23 2 28	Timmy Edwards
71 0 29	Cheryl Horowitz
76 7 23	Wilmer James
79 2 11	Gary Bennett
55 8 12	Adam Fenton
40 2 17	Terry Bell
31 7 9	Mary Clark
83 2 22	Jacqueline Maldonado
13 4 17	Eugene Barber
44 3 7	Patricia Platt
57 0 14	Marilyn Humphrey
52 5 24	Anthony Franklin
34 2 11	Rachel Harvey
72 1 6	Ella Scott
10 2 22	Myron Reid
70 8 7	Marilyn Sanchez
53 11 18	Teresa Yoon
69 7 17	Eloise Mabry
16 10 14	Jane Caraballo
24 8 11	Carley Holland
30 7 15	Roy Ingram
26 11 27	Julie Padilla
42 8 18	Julie Thompson
26 5 4	Jose Mitchell
9 4 8	Lucia Medina
26 11 0	Clark Wheeler
48 0 22	Christine Green
41 1 13	Vera Tiller
79 7 29	Alma Hamilton
27 10 0	Zada Mitchell
59 1 11	Treva Buchanan
10 5 18	Wade Bass
38 5 8	Elvina Gonzalez
80 5 2	Devin Olvera
29 9 6	Janice Bass
88 6 8	Shani Rogers
49 1 23	Ramiro Ward
46 5 1	Deborah Walker
52 1 10	Andrea Jenkins
11 7 26	Rosie Roberts
31 3 28	Rafael Baumann
27 8 1	Maryalice Rivera
48 0 1	Steve Long
29 3 2	Aida Price
35 1 29	Ashley Ramirez
34 4 11	Gordon Hernandez
9 6 17	Joe Moore
23 7 21	Karrie Moore
80 11 1	Maddie Tackett
51 2 7	Samual Roy
71 4 30	Walter Smith
28 8 0	Rachel Baldwin
83 9 9	Terry McDaniel
11 1 21	Anya Bennett
24 1 1	Carl Peterson
65 11 7	Andrew Paul
18 5 30	Jackeline Williams
79 9 20	Aaron Nelson
38 9 20	Patricia Collins
61 9 9	Brian Lamb
89 4 1	Jackie Roberts
57 7 12	Wanda Moore
56 10 3	Marion Brown
57 3 24	Devin Carvalho
21 6 9	Eugenia Jenkins
87 2 23	Eileen Fleming
22 5 24	Samual Weaver
74 3 30	Levi Weaver
24 5 22	Kim White
17 7 11	Bryant Gonzalez
36 9 11	Alycia Wright
19 7 15	Andrew Baumann
12 5 5	Andrea Hill
11 5 29	Delaine Barlow
14 3 17	Dennis Dean
41 10 5	Wayne Hampton
40 0 5	Nelson Mabry
89 6 29	Shrimply Sterling
58 0 20	Sarah Griffin
60 1 18	Andrew Hale
20 6 27	Catherine Anderson
14 6 24	Claudine Freeman
50 4 16	Kevin Baumann
88 10 8	Sherri Browne
56 11 21	Christopher Lee
36 9 21	Levi Reed
88 6 18	Marilyn Murphy
66 2 9	Wayne Hale
12 7 5	Alma Thompson
47 3 7	Amanda Maldonado
21 5 23	Joanne Mitchell
54 7 13	Brandon Flaherty
63 6 26	Elvina Alvarado
76 11 19	Joe Hampton
60 11 27	Judith Vaughn
52 3 13	Maddie Lamb
28 1 0	Herma Martin
30 4 5	Antoinette Padilla
47 8 8	Max Wagner
59 11 13	Earnest Roy
41 3 29	Hsiu Lane
90 10 13	Cecil Ward
36 11 21	Stephenie Torres
45 1 27	Brandon Morris
13 3 16	Eugene Adams
63 5 4	Howard Archer
21 5 18	Devin Griffin
56 8 27	David Brown
72 2 17	Jane Smith
29 2 27	Nicholas Smith
64 8 20	Pamela Perkins
67 8 25	Michael Harrison
20 6 5	Bryant Peters
75 10 18	Val Sterling
62 1 11	Grace Banks
51 8 1	Fred Yoon
66 3 24	Jane Rivera
83 10 5	Lila Powell
20 11 6	Lillian Griffin
47 9 19	Annie Main
49 3 27	Norman Garcia
29 11 0	Susan Platt
60 11 6	George Reeves
35 3 17	Elvina Barber
49 7 7	Cecil Evans
48 4 26	Jackie Orosco
53 6 2	Adam Boyle
86 10 25	Edward Griffin
48 4 19	Wayne Ruiz
63 8 9	Wayne Willis
80 7 10	Lynn Moore
24 4 29	Anya Adams
41 9 22	Pamala Bowen
11 1 15	Melissa Flynn
56 4 11	Val Jenkins
88 9 6	Roger Vega
82 3 14	Melita Nunez
58 2 5	Belinda Sterling
33 11 13	Terrell Jenkins
54 0 21	Sherri Hale
37 3 0	Kevin Holloway
14 8 2	Wayne Harrington
67 4 7	Jeremy Townsend
12 6 0	Kathleen Hampton
49 0 5	Charles Lopez
37 3 4	Lindsey Townsend
73 11 8	Gary Maier
66 4 21	Nancy Phillips
77 11 20	Rufus Hubbard
21 10 15	David Banks
80 3 14	Natalie Allen
89 3 0	Angie Collins
58 10 6	Marilyn Meyer
28 11 5	Sarah Nelson
43 7 27	Stephenie Grantham
63 3 6	Marion Williams
68 10 13	Betty Bennett
48 1 10	Mildred Turner
49 8 30	Rafael Phillips
13 9 16	Treva Cooper
19 10 15	Santiago Harrison
21 9 26	Cheryl Rivera
71 6 22	Anna Kelley
17 7 17	Calvin Archer
50 10 15	Martha Bryant
85 1 27	Earnest Perez
19 5 11	Terrell Bell
14 8 16	Lynn Miller
51 5 19	Salvador Hutchings
57 7 16	Dawne Franklin
83 7 26	Terry Rhodes
25 8 22	Lillian Washington
80 7 17	Collen Browne
37 10 12	Johnathan Faison
11 10 30	Marion Archer
14 8 4	Eliana Main
57 2 20	George Barrett
70 9 30	Terry Maier
8 0 4	Andre Mccune
40 8 5	Eileen Hampton
22 4 19	Maria Williams
8 9 5	Sophia Porterfield
63 0 5	Benjamin Hutchings
31 9 28	Heidi Maier
82 1 11	Marjorie Watson
57 3 25	Karrie Harrington
54 2 20	Andre Vega
34 3 30	Angie Flores
54 9 13	Diana Taylor
80 3 8	Wayne Moran
34 9 4	Rufus Pulliam
55 2 9	Gregory Holloway
80 7 0	Stephenie Torres
77 9 24	Estelle Bell
59 10 19	Casey Hutchings
67 2 23	Delaine Washington
20 3 20	Brandon Bryant
49 0 6	Laura Watson
47 8 21	Julie Lee
59 5 12	Darrin Ball
69 8 21	Ashley Collins
26 9 7	Laura Tiller
40 7 4	Barbara Carter
88 6 26	Marshall Lee
17 10 9	Fred Moody
65 0 10	Germaine Simmons
60 5 3	Walter Williams
35 3 19	Krissy Kelley
10 2 4	Dennis Hamilton
36 1 2	Rosie Peters
89 6 27	Max Price
40 8 12	Jeni Wilson
53 3 12	Joshua Dean
19 2 1	Devin Collins
15 1 14	Carley James
13 2 14	Charles Davis
67 2 14	Lonnie Wheeler
31 11 7	Marshall McDonald
66 10 0	Kasie King
86 2 2	Sherri Simpson
68 2 4	Maryalice Murphy
29 4 17	Alejandro Bowen
39 3 17	Wilmer Bennett
90 7 0	Raymond Allen
28 10 0	Gordon Holland
52 4 25	Clayton Simmons
34 2 19	Nicholas Shuman
44 10 22	Alycia Rhodes
61 2 6	Eliana Hall
18 3 18	Hsiu Sanchez
73 7 8	Jean Diaz
30 0 0	Carley Lewis
64 4 17	Pat Dennis
88 0 26	Norman Flynn
23 11 14	Zada Sanchez
57 3 26	Herma Morris
24 1 19	Dawne Holloway
80 1 25	Brandon Flynn
26 8 6	Kathleen Alvarado
36 10 29	Joshua Griffin
40 4 17	Jonathan Mabry
44 9 10	Aubrey Hughes
64 3 20	Martin Flaherty
25 1 17	Nicholas Evans
61 3 30	Roy Moody
67 3 27	Timmy Barber
31 3 22	Ella Pibbles
46 1 13	Andres Bell
17 8 28	Eloise Hardy
70 11 29	Maddie Walters
46 11 5	Ivan Campbell
32 1 8	Cynthia Wood
54 11 0	Sherri Perry
41 4 19	Irene Fortune
46 6 22	Treva Scott
15 5 1	Natasha Dunn
47 7 3	Jean Brooks
53 8 9	Marion Martin
32 4 25	Roy Reed
21 7 22	Angel Townsend
80 6 23	Randee Perez
51 6 23	Deborah Collins
15 8 22	Treva Adams
27 11 8	Ramiro Platt
45 3 0	Johnny Henderson
75 5 22	Roger Gracia
29 10 23	Christine Thomas
61 10 19	Brandon Rivera
24 0 11	Joe Sherman
89 2 14	Dawne Green
67 1 15	Shani Torres
90 6 4	Terence Henderson
33 10 8	Clarence Miller
85 3 7	Timothy Holland
11 5 6	Brandon Faison
69 11 4	Teresa Hampton
17 2 25	Kenneth Goodrich
27 4 9	Terry Mccune
28 11 15	Diane Allen
8 6 17	Earl Holloway
57 1 1	Rebecca Evans
79 8 24	Felipe Sanchez
19 3 25	Levi Bennett
22 4 1	Dennis Bass
70 5 25	Joshua Martin
88 6 0	Howard Bennett
45 1 28	Carl Perez
63 11 24	Casey Moody
61 4 1	Melissa Rodriguez
12 10 21	Tracy Willis
29 3 9	Nicolette Allen
88 11 28	Ken Davis
90 2 28	Jean Webb
26 8 9	Arthur Price
65 11 16	Irene Aaron
15 2 4	Timothy Hale
49 6 8	Vera Sterling
71 0 21	Pat Torres
83 3 27	Jennifer Wilkins
68 3 15	Earl Garcia
38 3 11	Lila Roberts
87 1 11	Jacqulyn Hardy
13 0 6	Angie Pibbles
89 5 19	Margaret Horowitz
13 8 27	Clark Gonzalez
40 4 13	Maddie Butler
66 1 14	Estelle Archer
27 8 28	Lila Campbell
24 6 23	Mildred Wagner
58 11 25	Amanda Bryant
40 0 4	Timothy Paul
65 6 6	Gordon Jones
37 4 9	Timmy Hines
41 4 30	Erica Brown
41 9 21	Lynn Benton
57 0 11	Lucia Neal
48 3 27	Roger Ross
21 7 15	Anna Clark
23 3 20	Aida Buchanan
10 10 12	Amanda Harrington
23 4 25	Eliana Evans
36 8 28	Grace Barnes
14 6 29	Aida Sterling
43 9 14	Earl Vargas
74 2 15	Gordon Lee
49 4 25	Donald Martinez
18 10 7	Kevin McDaniel
63 3 29	Delaine Mccune
66 3 8	Randee Harrington
39 10 22	Nicolette Harvey
36 2 27	Patricia Anderson
90 6 28	Lindsey Bowling
87 8 14	Jean Platt
57 1 14	Angie Robinson
27 6 11	Josphine Rogers
19 6 27	Robin Townsend
54 9 21	Ken Hernandez
89 2 12	Shrimply James
88 6 1	Benjamin Duong
42 1 5	Joe Padilla
12 11 26	Walter White
36 6 14	Stasia Taylor
18 11 10	Herma Jenkins
59 11 1	Jenifer Holland
24 1 3	Bobby Bowen
31 9 6	Cynthia Whitworth
71 9 12	Kevin Campbell
31 3 17	Willie Garcia
51 6 8	Mary Cook
45 3 7	Terry Humphrey
44 5 8	Steve Lanham
47 5 26	Shani Johnson
16 1 18	Norman Johnson
88 2 7	Doris Jenkins
86 6 10	Annie Harrison
55 1 6	Sophia Wagner
61 4 27	Nicholas Reddick
34 1 10	Gordon Payne
58 5 11	Glennis Coleman
23 2 3	Kenneth Moody
46 10 8	Sharon Whitworth
46 4 9	Norman Wilson
64 5 19	George Robinson
26 8 21	Jose Taylor
16 6 2	Kevin Banks
20 5 27	Jorge Ruiz
75 3 15	Sherri Perkins
17 9 25	Cecil Clark
52 6 30	Krissy Watson
32 11 26	Lindsay Coleman
66 4 23	Melita Perez
38 11 0	Candelaria Bell
64 5 0	Jane Faison
43 7 23	Josphine Ward
8 9 28	Zada Dean
60 6 16	Jeni Torres
59 1 15	Estelle Dennis
59 9 6	Marion Humphrey
50 5 23	Helen Arevalo
62 11 16	Pamala Boyle
46 6 8	Martha Simmons
63 10 24	Amanda Carter
70 9 11	Jorge Perez
50 10 13	Wayne Flowers
28 9 7	Delaine Powell
26 11 19	Devin Simpson
28 5 15	Darrin Lee
24 3 2	Joanne Paul
83 10 29	Elvina Hudson
43 6 6	Elijah Barnes
59 5 1	Christine Townsend
43 7 8	Janet Brockman
47 5 11	Calvin Scott
84 1 8	Shanelle Archer
71 6 2	Marie Drake
90 4 14	Gregory Rivera
16 3 20	Claudine James
30 11 30	Melissa Thompson
18 3 16	Delaine Holt
47 7 17	Cynthia Doyle
65 4 28	Heidi Griffin
87 10 3	Michelle Roland
33 6 2	Kasie Cox
85 4 0	Maryalice Dean
50 2 12	Patti King
33 1 9	Dawne Taylor
88 10 27	See Ingram
16 5 13	Spencer Jenkins
65 11 18	Eliana Walters
77 1 3	Andrea Nunez
26 9 10	Rachel Hindman
44 7 4	Bryant Butler
58 4 29	Jorge Wright
39 1 6	Glennis Reyes
69 3 12	Joe Campbell
52 2 23	Wilson Reyes
10 7 30	Betty Browne
32 3 22	Walter Freeman
34 1 27	Howard Fleming
65 0 0	Andres Peters
23 8 9	Sarah Ward
11 3 27	Karen Roy
43 7 7	Marie Johnson
30 4 4	Jorge Hughes
48 7 6	Elijah Hindman
36 3 24	Vera Hudson
38 3 25	Clark Anderson
43 10 10	Cecil Huddleston
19 1 18	Jonathan Morris
63 0 14	Tammy Diaz
84 7 27	Wilmer Orosco
27 5 2	Earl Roberts
13 1 21	Lillian Edwards
56 2 3	Jane Cook
41 1 10	Rosie Sanders
48 8 21	Gerard Moore
44 6 13	Martin Richardson
13 10 0	Margaret Parker
52 9 6	Glennis Hudson
43 1 30	Terrell Simmons
47 4 8	Patti Wilson
69 9 19	Karrie Dunn
31 9 28	Aida Barnes
90 4 11	Delaine Archer
44 10 18	Jack George
17 10 9	Carley Reed
18 3 17	Ryan Rivera
49 4 17	Gordon Green
44 1 6	Diane Diaz
37 4 11	Terence Vaughn
79 3 2	Ivan Russell
49 0 9	Deborah Humphrey
83 10 11	Denise Maldonado
85 8 25	Hsiu Hindman
53 5 8	Eugenia Weaver
78 8 26	Nelson Hindman
80 3 23	Terrell Medina
59 6 24	Jacqulyn Simmons
11 10 28	Jennifer Walker
16 0 25	Samual Taylor
71 6 28	Heidi Grantham
19 6 18	Wanda Graves
12 4 13	Joanne Henderson
47 1 18	Cecil Watson
31 10 26	Lonnie Watson
33 8 8	Karen Brown
17 6 6	Christine Duong
14 0 28	Devin Rhodes
79 8 2	Jean King
20 0 17	Natasha Fenton
90 4 13	Max Hardy
27 9 23	Andrea Foster
46 10 21	Sharon Long
13 4 10	Ryan Collins
89 3 9	Santiago Price
14 2 0	Jeni Price
68 2 1	Pamela Aaron
82 0 27	Fred Tiller
48 8 16	Patti Barlow
64 2 16	Cheryl Sanders
39 5 8	Angelika Reyes
47 10 14	Andrea Butler
57 1 24	Maddie Thompson
90 7 26	Andrea Sanchez
48 7 26	Sophia Webb
23 3 23	Jason Weaver
23 11 29	Mildred Holt
69 10 7	Mary Bowen
24 8 6	Angel Norman
23 6 13	Benjamin Alexander
73 3 7	Collen Wright
9 10 29	Mildred Doyle
83 2 17	Michael Pulliam
61 9 26	Willie Huddleston
86 1 9	Khadijah Tiller
22 10 5	Michelle Barlow
83 6 3	Christine Adams
68 5 22	Deborah Flores
84 6 6	Susan Henderson
52 7 20	Cheryl Campbell
34 9 9	Mary Sherman
89 9 6	Gerard Caraballo
34 2 18	Aaron Adams
48 10 25	Germaine Griffin
63 7 26	Laura Washington
23 9 15	Ronald Lee
9 1 6	Wanda Perkins
21 4 8	Dawne Hutchings
79 2 1	Kim Maier
13 11 19	Clayton James
9 9 20	Melissa Boyle
33 2 3	Mildred Simpson
70 11 30	Lindsey Walker
19 4 21	Samual Roberts
19 0 4	Treva Richardson
57 8 20	Aida Hollins
36 11 20	Martin Benton
87 5 25	Hugh Cooper
87 0 16	Candelaria Jenkins
35 8 19	Sophia Flowers
11 10 0	Katherine Sterling
40 9 18	Melita Aguilar
43 11 0	Max Flynn
51 6 29	Joanne Peterson
73 6 29	Kelly James
40 11 7	Lynn McDonald
78 2 2	Alma Norman
36 8 23	Jacqulyn Carter
47 9 4	Betty Tate
55 3 23	Clarence Vega
77 7 25	Zachary Rogers
59 2 4	Aubrey Nunez
26 8 22	Alycia Hill
32 7 13	Rosie Scott
81 3 20	Nancy Graves
68 1 20	Barbara Moran
19 0 28	Angelika Dean
36 6 14	Ivan Copeland
58 9 15	Walter Faison
71 8 25	Rose Gray
12 0 2	Marilyn Hutchings
11 10 3	Pamela Rhodes
76 2 16	Joe Archer
15 6 0	Raymond Peters
38 11 14	Helen Peterson
32 10 12	Arthur Ruiz
79 8 17	Judith Hughes
8 6 18	Jacqulyn Brockman
32 0 17	Aubrey Franklin
42 7 0	Amanda Robinson
85 6 17	Lindsay Jackson
33 8 4	Darrin Bell
68 3 13	Charles Wright
16 1 7	Betty Lopez
61 10 17	Aaron Browne
32 0 1	Walter Main
9 2 22	Chris Russell
34 1 20	Josphine Reyes
66 3 24	Lillian Nunez
54 3 11	Shani Allen
80 8 11	Vera Howard
9 11 30	Grace Lewis
18 8 15	Lucia Hines
21 3 21	Rosie Vega
19 9 11	Ramiro Bass
44 1 15	Annie Green
33 5 24	Max Smith
89 2 29	Ryan Lane
61 7 18	Valerie Lee
15 11 15	Nancy Tate
90 3 28	Marilyn Perez
63 0 4	Candelaria Orosco
59 5 21	Santiago Watson
11 9 28	Clark Roland
66 6 21	Calvin Baldwin
33 4 24	Carley Barber
29 0 9	Jennifer Barrett
79 7 18	Rose Roberts
48 5 29	Brandon Reyes
76 4 4	Timothy Turner
87 2 15	Johnny Johnson
43 5 1	Darrin Evans
32 2 2	Richard Morris
37 10 19	Eliana Brockman
57 10 14	Lindsay Martinez
56 5 10	Gerard Peters
62 8 21	Ronald Henderson
43 11 1	Vera McDonald
80 10 5	Timmy Taylor
77 10 14	Andrea Aaron
46 7 4	Aubrey Griffin
22 5 14	Sharon White
70 6 5	Nicolette Henderson
69 0 10	Ella Fortune
39 4 7	Elijah Howard
15 4 14	Valerie Tiller
90 6 6	Andres Torres
37 10 25	Lila Brockman
41 11 12	Nicolette Butler
43 11 7	David Hill
70 11 19	Marshall Hutchings
40 1 23	Heidi Mccune
43 10 0	Terry Lewis
76 0 13	Anya Padilla
54 6 19	Gerard Nelson
84 11 6	Mildred Barnes
26 2 8	Patricia Gray
41 1 15	Elijah Bowling
19 11 0	Oretha Bowling
46 2 4	Alejandro Lee
70 4 8	Nicholas Thompson
55 3 18	Helen Blanton
29 3 29	Fred Sanchez
75 2 28	Christine Reeves
85 1 13	Bobby Knight
34 4 8	Nelson Carter
61 1 10	Eugenia Young
51 1 21	Terrell Marsh
15 2 8	Jacqueline Hubbard
29 3 1	Johnny Doyle
82 8 20	Bobby Coleman
10 4 15	Jane Huddleston
68 0 28	Dwayne Maldonado
80 8 12	Cynthia Lanham
63 8 12	Diane Moody
40 9 13	Eugenia Hunt
47 0 12	Ronald Barth
89 8 13	Wade Griffin
12 8 8	Christopher Holloway
28 3 17	Mildred McDonald
55 11 24	Jackie Taylor
66 1 2	Casey Campbell
35 1 9	Norman Hines
15 6 19	Wade Lanham
35 5 23	Joanne Anderson
18 6 10	Joe Richardson
34 8 2	Claudine Collins
79 6 7	Ronald Fortune
61 3 22	Benjamin Buchanan
56 0 21	Tammy Lee
77 11 3	Dawne Perez
57 6 9	Teresa Marsh
40 5 27	Marion Walters
21 3 4	Alejandro Lane
57 0 12	Willie Platt
30 1 3	Alan Russell
62 10 22	Lindsay Reddick
71 2 5	Ernest Carr
48 2 24	Nancy Reddick
19 5 13	Terence Barth
31 8 9	Lindsey Perkins
20 1 23	Terry Russell
76 4 4	Diane Main
46 1 18	Marshall Bennett
80 4 24	Rachel Ward
41 5 21	Terrell Hunt
48 3 14	Lynn Price
53 11 1	Aaron Blanton
78 6 30	Belinda Walker
72 4 15	Kevin Bell
53 6 19	Diana Graves
64 5 18	Alycia Russell
47 9 22	Eliana Vaughn
43 0 28	Kevin Moore
12 7 18	Joanne Vaughn
77 8 25	Maryalice Phillips
47 5 23	Jeni Holt
46 8 12	Ronald Buchanan
73 10 20	Nicholas Horowitz
77 6 4	Brian Murphy
87 3 10	Wilson Hughes
78 4 30	Maddie Humphrey
22 9 5	Melita Perkins
49 4 29	Jack Carter
37 7 3	Carley Reddick
51 10 28	Eileen Bennett
36 0 0	Nicolette Bryant
90 6 10	Deborah Harris
39 9 25	Brandon Henderson
22 2 8	Antoinette Thomas
72 2 14	Elvina Wilkins
90 6 21	Betty Butler
77 7 20	Patricia Brown
21 2 8	Patti Henderson
78 2 13	Stephenie Ward
80 8 7	Dorothy Harrison
46 5 26	Laurence Nunez
31 8 25	Shanelle Parker
90 1 28	Lindsay Orosco
89 0 21	Aubrey Sterling
34 2 5	Jennifer Bailey
81 1 26	Patricia Simpson
62 10 22	Mary Pibbles
27 8 0	Ronald Russell
68 0 5	Stasia Reddick
15 1 27	Gordon Jackson
60 9 11	Casey Cox
38 4 13	Earl Hernandez
71 2 1	Marjorie Campbell
49 9 20	Howard Wilkins
37 1 23	Lonnie Moran
29 4 18	Devin Ward
51 6 0	Eugenia Archer
35 9 26	Estelle Clark
56 8 9	Lillian Diaz
17 1 23	Joanne Hindman
69 2 28	Betty Williams
69 0 0	Wanda Hubbard
17 2 27	David Murphy
67 7 30	Pamala Tate
13 4 1	Annie Ruiz
33 0 17	Arthur Thompson
86 9 27	Kevin Casey
14 0 26	Fred Rhodes
54 1 26	Terry Griffin
51 6 24	Jenifer Sullivan
41 7 5	Hsiu Norman
59 11 6	Hsiu Evans
90 10 24	Wanda Huddleston
90 11 18	Jacqulyn Reid
12 2 10	Martin Allen
88 3 9	Ivan Taylor
13 7 14	Aida Rodriguez
14 0 9	William Fenton
78 7 19	Denise Hughes
82 9 24	Julie Maldonado
69 11 6	Mary Baldwin
70 5 11	Candelaria Harris
24 2 25	Rosie Rhodes
85 8 26	Katherine Hutchings
71 10 12	Alan Main
46 0 23	Mary Gonzalez
71 0 15	Alejandro Bailey
48 0 5	Lucia Harrington
66 1 24	Chris Watson
38 3 23	Ken Turner
84 8 10	Clarence Anderson
58 4 3	Lila Edwards
60 7 30	Shrimply Taylor
15 10 3	Claudine McDonald
77 5 20	Gordon Brown
47 1 30	Maryalice Foster
45 2 18	Melita Brooks
55 11 28	Patricia Wood
55 11 2	Fred Washington
62 6 29	Khadijah Hall
12 7 15	Timothy Butler
41 3 1	Michael Henderson
46 10 27	Zachary Shuman
39 0 1	Benjamin Peterson
60 10 22	Carl Scott
32 10 26	Marie Torres
80 0 29	Catherine Martinez
58 9 23	Wilson Bowen
13 11 15	Jackie Kelley
71 3 11	Hsiu Henderson
67 11 3	Janice Humphrey
89 5 19	Robin Kelley
47 9 29	Dorothy Franklin
78 1 15	Lucia Barrett
54 11 14	Aaron Parker
67 3 9	Samual Norman
36 10 5	Pat Rogers
55 9 14	Stasia Lee
38 4 14	Shrimply Morgan
83 7 27	Laura Tate
30 8 17	Lillian Nelson
62 4 18	Teresa Porterfield
84 3 17	Wilmer Alexander
79 2 6	Ivan Murphy
44 9 24	Zada Clark
66 6 9	George Medina
11 10 7	Heidi Buchanan
24 9 23	Patricia Rodriguez
52 7 0	Karen Ingram
11 8 8	Andre Clark
14 6 15	Natalie Lee
81 5 6	Shani Wood
86 7 25	Earnest Norman
56 4 17	Jeremy Butler
42 0 23	Judith Olvera
57 0 21	William Humphrey
25 6 3	Herma Platt
64 2 12	Jane Thomas
36 4 8	Michelle Reyes
37 11 8	Tammy Bryant
21 8 21	Donald Hampton
15 1 11	Helen Henderson
71 10 3	Jane Washington
76 2 27	Wayne Collins
89 6 17	Felipe Turner
49 11 27	Eloise Sherman
65 8 10	Alice Young
81 5 18	Yuonne Moore
17 0 15	Dani Rodriguez
47 2 14	Karen Harvey
44 9 11	Jean Butler
20 0 28	Ryan Flynn
50 2 13	Andres Buchanan
10 5 25	Pamela Hill
83 8 10	Melita Pulliam
47 0 6	Willie Griffin
70 5 8	Erica Patterson
12 9 26	Brian Tiller
28 2 1	Shanelle Whitworth
64 5 29	Marie Carr
55 1 21	Frankie Olvera
63 9 20	Joshua Lopez
11 10 19	Johnathan Freeman
21 5 25	Eliana Hubbard
67 0 23	Alma James
12 9 5	Delaine Brockman
54 0 0	Steve Bowling
9 8 21	Charlene Baldwin
60 0 21	Donald Russell
78 1 17	Aubrey Vaughn
25 3 18	Clayton Torres
84 7 10	Calvin Cox
67 5 0	Dorothy Wagner
82 1 3	Collen Horowitz
89 9 19	Germaine Rhodes
61 3 15	Diana Sterling
83 8 25	Brandon Wilkins
69 4 17	Wanda Webb
19 11 24	Erica Perkins
19 9 17	Dwayne Phillips
14 0 9	Lila Clark
32 9 15	Pamala Morgan
18 8 14	Valerie Hall
14 11 25	Christine Hindman
14 1 25	Doris Watson
52 4 28	Andrew Cooper
90 7 12	Dwayne Fenton
60 7 20	Darrin Lane
49 6 1	Shani Browne
72 5 16	Mildred Browne
75 8 28	Gary Young
89 1 5	Oretha Porterfield
88 8 4	Howard Price
86 6 16	Lila Caraballo
88 8 20	Aida White
29 1 11	Lynn Harrington
32 10 5	Jean Reed
46 3 17	Treva Wood
37 4 24	Antoinette Browne
9 8 5	Jennifer Collins
32 0 2	Norman Hampton
34 1 5	Annie Campbell
48 8 12	Gary Brown
76 10 22	Michael Sherman
64 7 9	Natasha Rhodes
26 11 1	Lucia Freeman
12 6 27	Julie Hollins
51 6 26	Terry Cook
14 3 7	Chris Barber
61 6 26	Timmy Drake
29 6 15	Terrell Cox
22 2 20	Karrie Goodrich
70 2 13	Norman Brown
51 9 4	Michelle Walters
58 6 9	Andrea Evans
16 5 0	Dawne Collins
80 8 13	Diane Maldonado
73 6 22	Natasha Cooper
35 0 0	Timmy Hutchings
41 3 14	Shrimply Hughes
32 1 15	Clarence Platt
17 0 18	Oretha Mccune
55 5 24	Janet Peterson
88 0 16	See Thomas
67 9 3	Rufus Holt
60 11 21	Timmy Martin
86 11 3	Andre Richardson
85 9 3	Aubrey Barlow
37 4 1	Nancy Drake
33 5 8	Khadijah Campbell
36 7 9	Diane Smith
20 2 30	Robin Gonzalez
51 5 4	Brandon Knight
36 9 0	Mary Porterfield
64 10 13	Elvina Perry
38 11 9	Collen Reddick
69 9 10	Sophia Washington
78 10 23	Candelaria Wilson
10 8 5	Treva Sanders
54 11 10	Anthony Bell
28 2 24	Betty Holloway
14 1 6	Clayton Hudson
63 5 16	Andre Dean
27 9 11	Kim Doyle
12 0 7	Donald Bailey
47 3 21	Aaron Lanham
80 11 7	Pamela Shuman
71 5 26	Germaine Barrett
55 9 13	Nelson Ross
55 11 16	Brian Roland
15 3 7	Pamela Rhodes
67 3 25	Vera Caraballo
72 7 0	Cecil Paul
