10607
87 7 26	See Hines
58 2 20	Adam Jackson
75 4 8	Dani Hampton
61 0 20	Aida Green
24 11 3	Angel Webb
90 11 9	Cheryl Rhodes
78 7 18	Jacqulyn Ross
30 11 15	Vera Smith
26 4 20	Kathleen Moran
13 6 13	Karen Johnson
50 4 27	Willie Drake
69 2 25	Cecil Wright
77 5 4	Aida Hudson
85 7 9	Raymond Barth
88 8 22	Spencer Kelley
22 7 29	Spencer Benton
40 0 5	Eugenia Weaver
73 1 22	Laurence Gonzalez
41 4 1	Kelly Bowling
16 10 15	Martin Morris
78 10 9	Clark Bennett
72 0 28	Alycia Harris
8 10 15	Tracy Harris
75 10 15	Calvin Lanham
20 3 3	Hugh Pibbles
24 10 25	Dani Tate
24 9 26	Diane Ruiz
13 2 10	Irene Hampton
70 0 5	Eliana Huddleston
77 2 2	Catherine Medina
38 4 28	Wayne Baldwin
30 6 24	Annie Campbell
52 5 2	Jeni Ingram
55 8 22	Eloise Hamilton
85 11 7	Kim Rhodes
13 5 21	Andres McDaniel
48 1 11	Patti Martinez
59 2 20	Terrell Hindman
47 2 18	Dexter Lindsey
89 6 29	Norman Perry
86 11 6	Christopher Stewart
88 10 10	Sharon Coleman
33 0 12	Angelika Butler
83 0 13	Patricia Green
84 10 2	Dawne Yoon
75 0 20	Ashley Benton
55 1 6	Doris Evans
86 5 2	Andres Gonzalez
38 9 25	Clayton Hamilton
70 9 27	See Browne
27 8 19	Ryan Barth
18 2 3	Anthony Lanham
65 3 17	Carley Moody
19 6 24	Andrea Holloway
34 4 17	Julie Bowen
21 11 15	Bryant Martinez
13 0 24	Lindsay Barth
35 1 5	Delaine Harris
41 5 22	Amanda Porterfield
32 0 5	Andrea Thomas
9 6 4	Roy Pulliam
30 5 28	Josphine Brown
88 11 7	Krissy Bennett
63 6 27	Alma Cook
28 8 7	Belinda Barber
77 2 9	Jane James
75 0 25	Wayne Browne
46 10 28	Yuonne Carvalho
85 2 17	Kelly Lamb
49 2 24	Jane Collins
9 11 18	Ramiro Hubbard
59 5 2	Tracy Peters
41 1 30	Wayne Payne
71 1 2	Julie Bailey
27 9 6	Dorothy Butler
89 2 25	Brandon Fortune
38 3 28	Adam Phillips
52 9 10	Johnny Bowling
32 10 19	Walter Robinson
42 9 9	Rosie Yoon
32 3 22	Mary Graves
14 6 28	Wade Flowers
29 1 6	Pamela Bell
87 7 28	Alycia Adams
54 4 12	Santiago Perkins
11 2 15	Hugh Wilkins
47 1 4	Andrew Sanchez
63 5 19	Rosie Dean
38 10 21	Betty Gray
59 10 9	Bobby Reyes
68 9 9	Nancy Rivera
49 6 24	Jackie Morris
57 4 17	Diane Edwards
21 8 23	Wayne Benton
20 8 8	Brandon Barlow
84 11 4	Janice Graves
61 6 10	Hugh White
14 5 16	Dani Rivera
57 6 4	Estelle Marsh
79 5 27	Tracy Reyes
82 10 3	Susan Barth
17 1 24	Hsiu Watson
67 8 19	Melissa Bryant
29 9 25	Brian Campbell
21 2 7	Teresa Neal
14 3 6	Devin Howard
88 9 11	Mary Cooper
61 6 26	Max Reddick
67 6 0	Shani Benton
44 8 6	Marshall Griffin
42 4 8	Rebecca Harris
83 2 2	Christopher Jones
19 7 29	Tracy Perkins
65 0 25	Kathy Wilkins
11 1 1	Arthur Evans
41 4 5	Lindsey Butler
26 10 15	Amanda McDonald
41 11 25	Jennifer Thompson
56 11 4	Kathleen Bowen
54 11 2	Mary Vaughn
77 5 0	Betty Wagner
56 9 22	Kasie Martinez
45 9 9	Roger Phillips
61 3 8	Rafael Aaron
27 9 7	Melissa Bryant
80 1 4	Jonathan James
19 11 7	Eugenia Watson
47 1 22	Natalie Stokes
45 2 19	Katherine Norman
61 11 21	Wanda Baldwin
34 11 9	Andre James
10 3 1	Benjamin Griffin
13 1 13	Treva Hernandez
74 11 9	Alan Franklin
31 4 24	Samual Miller
78 5 0	Vera Scott
78 6 26	Dawne Robinson
71 8 28	Amanda Horan
37 5 12	Amanda Butler
21 2 14	Sarah Goodrich
77 3 29	Nicolette Peters
77 2 25	Maryalice Dennis
35 4 14	Cynthia Russell
33 9 17	Clayton Browne
12 3 26	Richard Allen
52 9 28	Maryalice Williams
53 2 19	Pamala Morris
59 5 21	Rosie Lopez
22 0 2	Teresa Brockman
37 1 2	Catherine Rivera
21 6 18	Edward Coleman
59 3 3	Natasha Neal
73 4 17	Natasha Griffin
83 2 14	Doris Butler
77 5 16	Roger Turner
52 0 27	Sarah Bowling
26 9 3	Brian Jackson
87 7 6	Norman Steadman
38 3 17	Aaron Thompson
88 10 15	Spencer Parker
41 4 25	Alejandro Collins
10 4 4	Dani Maier
58 5 16	Herma Ross
89 3 27	Terence Barnes
89 3 0	Ken Campbell
71 9 25	Collen Williams
33 11 27	Eliana Richardson
85 9 24	Lindsey Huddleston
31 2 26	Marion Wagner
53 0 3	Maryalice Price
22 4 18	Gordon Barlow
12 8 19	Timothy Graves
20 2 21	Dexter Thompson
16 3 18	Susan Mitchell
89 2 18	Terrell Main
24 10 11	Earnest Powell
87 10 21	Alan Horowitz
39 0 30	Terrell Rodriguez
19 4 24	Michelle Peterson
70 3 15	Walter Maldonado
41 5 22	Diane Ball
66 2 21	Treva Knight
18 3 12	Nicolette Jones
33 11 20	Mildred Martinez
24 3 12	Terrell Collins
47 8 14	Terry Harris
76 4 15	Eileen Henderson
86 11 7	Cynthia Gray
64 3 2	Janice Vega
26 5 6	Charles Butler
28 7 8	Deborah Flynn
39 10 9	Roy Carr
85 1 24	Chris Carr
49 8 9	Lindsay Sherman
68 2 26	Amanda Howard
55 2 5	Nicolette Gray
73 8 17	Patti Vargas
30 4 14	Anna Flynn
70 10 4	Jenifer Caraballo
28 5 4	Jane Paul
20 10 17	Ken Freeman
68 0 0	Gordon Bowling
60 0 1	Calvin Shuman
61 6 16	Janice Carr
49 0 5	Denise Wilkins
88 0 10	Arthur Thompson
64 6 22	Yuonne Dunn
66 4 27	Eugene Reddick
39 1 3	Darrin Hampton
62 9 0	Herma Lee
42 2 6	Kimberly Neal
11 6 9	Sharon Fleming
20 7 8	Treva Martinez
27 8 3	Pat Holland
66 11 3	Janet Fleming
73 11 30	Anthony Sanchez
72 10 29	Katherine Cook
21 5 4	Maryalice Ward
11 10 29	Christopher Torres
82 2 29	Luz Padilla
51 8 17	Joanne Meyer
35 6 0	Candelaria Boyle
59 9 23	Ryan Patterson
43 10 0	Levi Flowers
40 4 26	Max Horan
18 5 9	Elvina Blanton
47 6 0	Eugene Rhodes
37 10 28	Heidi Wood
48 8 10	Kevin Hardy
12 2 28	Nancy Townsend
8 0 22	Zada Collins
72 5 12	Andre Harris
89 8 2	William Barnes
73 10 9	Elijah Evans
12 2 29	Nicholas Bowen
53 6 20	Hugh Henderson
53 5 10	Walter Platt
77 9 22	Belinda Allen
59 11 21	Jose Cooper
47 11 12	Jennifer Harris
43 4 14	Terence Benton
48 3 14	Alice Benton
80 11 1	Betty Carter
44 5 26	Myron Yoon
80 0 9	Eloise Fleming
33 1 18	Hugh Carr
75 3 29	Ronald Thompson
9 6 23	Charlene Barlow
30 10 8	Joshua McDonald
26 1 11	Cynthia Fenton
11 8 8	Kevin Simmons
72 11 10	Shanelle Meyer
46 4 13	Terry Mabry
15 1 8	Rachel Campbell
50 10 19	Felipe Howard
41 6 11	Anthony Moody
58 7 18	Elijah Alexander
30 2 4	Anna Fortune
24 1 29	Terrell Green
77 6 3	Katherine Thompson
90 5 21	Denise Bowling
56 1 8	Lila Williams
59 0 11	Johnny Boyle
34 9 30	Katherine Harvey
71 5 4	Rachel Porterfield
77 11 16	Terry George
76 7 15	Jacqueline Yoon
8 6 5	Jason Lee
23 11 26	Luz Walters
41 4 25	Pamala Carvalho
71 0 11	Dani Evans
15 3 14	Lillian Perez
51 11 16	Ella Roberts
32 3 25	David Moran
17 1 5	Ivan Collins
84 4 23	Angelika Ross
18 5 29	Max Pulliam
71 10 23	Sarah Aaron
33 10 29	Rachel Graves
23 2 5	Jacqueline Barrett
58 11 20	Dwayne Olvera
40 6 22	Catherine Goodrich
77 8 26	Eugenia Wilson
75 9 16	Dwayne Tate
78 6 22	Darrin Banks
75 8 25	Helen Clark
50 11 16	Vera Marsh
76 6 1	Gregory Browne
37 6 27	Andrew Hughes
30 8 20	Marshall Miller
20 9 2	Kasie Bowen
41 5 4	Karen Johnson
8 2 12	Lillian Brown
88 8 13	Glennis Paul
90 4 11	Ramiro Scott
31 5 12	Wilmer Wilkins
52 7 30	Pamela Ingram
59 7 22	Clayton Rogers
52 10 29	Eliana Porterfield
26 1 21	Claudine Orosco
15 5 8	Martin Russell
87 0 11	Shrimply Orosco
58 11 14	Max Torres
54 2 25	Frankie Vaughn
88 2 7	Rachel Pibbles
16 10 24	Stephenie Cooper
77 11 12	Josphine Parker
39 7 12	Calvin Roberts
61 10 6	Rafael Anderson
55 9 22	Patti Torres
21 8 15	Rufus Tackett
87 7 20	Michelle Hale
72 0 4	Glennis Barrett
19 0 29	Helen Roy
50 6 23	Earnest Brooks
83 11 8	Heidi Bowen
86 8 26	Jean Wagner
89 11 26	Joe Huddleston
67 10 5	Eliana Vaughn
72 9 23	Adam Wright
48 1 25	Michelle Aguilar
15 1 6	Amanda Bell
63 1 1	Hugh Thompson
55 2 11	Spencer Miller
36 5 26	Eloise Hale
89 10 1	Wade Hudson
21 10 20	Nancy McDonald
49 2 25	Bryant Boyle
30 10 10	Myron Yoon
79 4 23	Clarence Ruiz
84 4 16	Laurence Thomas
65 1 24	Lillian Holloway
84 4 8	Ken Simpson
80 8 1	Deborah Humphrey
38 2 3	Elvina Watson
33 4 30	Jenifer Harris
90 11 11	William Washington
51 8 19	Shrimply Gonzalez
71 5 2	Kimberly Murphy
9 3 12	Jacqulyn Hindman
34 10 3	Rebecca Porterfield
63 2 11	Kevin Humphrey
85 1 12	Deborah Mitchell
61 10 20	Hsiu Long
42 9 27	Nancy Aguilar
51 3 17	Sophia Thompson
23 5 10	Martha Simpson
59 7 9	Walter Martinez
37 11 22	Gregory Ross
18 0 11	Josphine Casey
27 4 17	Maria Tate
42 2 9	Zada Orosco
55 0 9	Gregory Main
87 3 7	Ernest Barrett
57 6 0	Shani Stokes
10 2 1	Gregory King
23 5 2	Rafael Bennett
41 7 18	Aubrey Mccune
35 11 11	Andrew Perez
79 11 24	Brian Cox
36 11 23	Betty McDonald
15 1 29	Ken Caraballo
37 3 18	Natalie Johnson
30 8 29	Brian Main
72 7 20	Brian Taylor
71 7 0	Laura Brown
76 11 8	Roy Pibbles
54 9 5	Marion Knight
41 7 4	Marilyn Copeland
79 5 20	Wilmer McDaniel
69 5 18	Patti Patterson
19 5 14	Barbara Humphrey
50 4 11	Earl Henderson
19 0 16	Bobby Rivera
14 10 22	Teresa Gray
46 2 3	Gerard Barlow
17 8 26	Jonathan Hudson
23 10 4	Krissy Aaron
43 2 25	William Buchanan
41 11 6	Joshua Jackson
46 11 15	Niki Reed
63 11 8	Ivan Norman
77 4 24	Lynn Turner
30 10 16	Sophia Wood
13 5 30	Kimberly Bailey
88 9 8	Sophia Townsend
38 6 16	Lillian Goodrich
39 5 11	Natasha Griffin
12 3 6	Wayne Murphy
72 3 25	Wanda Young
37 1 27	Kim Morgan
30 0 10	Charles Dennis
44 1 11	Alice Steadman
20 10 17	Walter Richardson
64 0 29	Marshall Kelly
19 8 10	Richard Patterson
10 10 14	Bryant Harris
83 5 25	Gary Duong
90 7 14	Jacqulyn Wheeler
57 1 5	Amanda Pulliam
32 8 27	David Rivera
90 7 25	Margaret Sherman
76 11 11	Donald Davis
68 5 24	Alice Hamilton
46 9 12	Valerie White
55 7 12	Cynthia Browne
55 0 16	Ernest Flores
61 3 18	Eugenia Steadman
51 11 10	Ashley Thompson
37 5 19	Marie Bailey
41 3 6	Susan Harris
24 3 29	David Russell
28 4 2	Jeremy Stewart
55 10 1	Alan Coleman
67 5 30	Andres Bass
56 0 11	Brandon Wilkins
71 11 29	Jorge Bowling
65 4 26	Anna Coleman
24 1 24	Deborah Nelson
30 0 16	Alan Ingram
87 0 14	Pamela Bryant
9 6 5	Melita Watson
86 3 13	Jeni Lee
83 11 23	Jack Walker
90 4 12	Lindsey Turner
20 5 19	Claudine Griffin
24 3 10	Donald Torres
42 3 6	Eugenia Holland
32 3 4	Antoinette Duong
14 1 6	Josphine Yoon
60 3 21	Lonnie Pulliam
17 11 19	Rufus Orosco
75 10 29	Angie Main
63 7 13	Walter Butler
40 2 29	Lucia Walker
49 8 13	Vera Faison
81 0 27	Andrea Coleman
61 7 5	Denise Hines
90 9 4	Margaret Shuman
23 7 21	Dorothy Henderson
54 7 28	Marjorie Butler
22 3 7	Vera Benton
17 5 30	Ramiro Seymore
89 6 22	Shrimply Rivera
58 9 16	Dexter Reed
24 5 24	Devin Walker
55 3 20	Shrimply Sanders
68 3 29	Benjamin Nelson
33 3 17	Cheryl Norman
73 1 10	Anthony Hindman
24 1 13	Arthur Yoon
88 6 18	Jack Green
28 6 18	Jeremy Boyle
86 1 27	Richard Holloway
71 4 27	Howard McDonald
66 2 7	Diane Lee
34 11 27	Jackie Fleming
26 3 10	Timothy Jones
81 0 26	Krissy Padilla
36 7 30	Jack Patterson
41 2 13	Ken Buchanan
60 4 5	Jenifer Brockman
61 3 4	Norman White
32 8 25	Deborah Anderson
39 8 24	Wade Diaz
84 5 15	Delaine Griffin
50 2 29	Judith Griffin
41 11 22	Jenifer Washington
83 0 30	Nancy Roy
8 8 24	Kathy Anderson
11 5 24	Cecil James
83 9 20	Lucia Meyer
33 0 18	Brian Thompson
69 1 1	Dani Weaver
47 1 25	Carley Martin
17 5 4	Christine Pibbles
68 2 20	Candelaria Bryant
32 0 1	Charles Simmons
41 6 5	Andres Barlow
61 0 22	Mary Evans
89 3 9	Eugenia Davis
89 1 4	Jenifer Ingram
64 10 16	Marion Jones
70 1 14	Anya Yoon
61 10 29	Karen King
51 9 12	Kevin Torres
27 8 9	Sherri Butler
81 6 16	Samual Hamilton
82 11 20	Nicholas King
34 1 11	Lonnie Knight
41 9 7	Andres Tackett
86 11 25	Anna Willis
11 2 1	Candelaria Hamilton
55 4 14	Gary Olvera
16 3 5	Claudine Hamilton
66 9 22	Jacqueline Cooper
30 6 9	Randee Hardy
37 8 13	Belinda Vega
71 10 3	Anna Horan
24 11 12	Roy Ball
48 4 6	Jennifer Neal
55 4 7	Bryant Barber
30 3 15	Marilyn Price
83 8 27	Rosie Butler
80 8 19	Nicholas Ramirez
61 10 1	Heidi Webb
73 4 10	Sherri Brown
26 10 13	Julie Holloway
53 9 21	Jack Porterfield
53 9 6	Terence Porterfield
31 7 13	Yuonne Willis
9 0 22	Chris Shuman
43 6 14	Carley Murphy
10 5 21	Val Hamilton
70 3 24	Wayne Ross
80 10 3	Khadijah Wilkins
21 5 5	Dwayne Howard
88 6 2	Alejandro Blanton
16 0 22	Valerie Faison
68 11 5	Angie Grantham
32 2 23	Diane Harris
34 4 7	Dawne Nelson
81 6 26	Jane Porterfield
83 5 7	Delaine Henderson
73 8 2	Krissy Barth
31 4 4	Rufus Griffin
35 9 0	Michelle Williams
69 0 28	Wayne Harris
54 6 2	Jenifer Ingram
8 2 1	Stephenie Wagner
64 4 4	Arthur Maldonado
19 11 12	Sharon James
27 2 30	Marshall Barnes
56 5 15	Alejandro Sanders
37 9 26	Janice Mitchell
51 10 27	Wayne Grantham
83 7 28	Jackeline Banks
41 3 9	Krissy Thomas
18 9 9	Ramiro Campbell
28 9 19	Norman Russell
50 2 8	Anya Archer
74 3 11	Wilmer Bailey
84 11 1	Johnny Hale
89 1 0	Andrea Gracia
51 4 2	Maddie Taylor
51 2 2	Kim Mabry
76 0 23	Annie Diaz
42 2 25	Rachel Bell
33 1 18	Catherine Russell
46 8 21	Carl Maldonado
60 8 16	Melissa Kelly
73 0 17	Gordon Butler
44 4 19	Ryan Boyle
84 8 6	Jonathan Jones
49 9 29	Anya Marsh
73 7 24	Joanne Hill
8 7 3	Tammy Roy
28 11 27	Max Browne
10 4 20	Aaron Sterling
28 4 7	Lonnie Thompson
14 2 3	Stasia Foster
27 4 30	Felipe Boyle
41 11 23	Raymond Garcia
53 3 4	Dexter Garcia
33 11 18	Devin Gonzalez
52 8 1	Alan Foster
62 4 0	Marjorie Torres
61 7 2	Lillian Parker
48 8 6	Dani Sanchez
27 9 24	Betty Doyle
15 6 18	Michael Roland
31 9 26	Jean Ingram
68 4 9	Brandon Kelley
58 0 28	Val Butler
22 7 28	Vera Hardy
69 9 1	Deborah Lindsey
28 3 8	Marie Sullivan
89 10 18	Stasia Mccune
62 1 8	Rebecca Bennett
56 11 26	Martin James
32 0 30	Eileen Moore
18 3 4	Claudine Sherman
14 11 20	Sharon Gonzalez
58 11 6	Charles Young
26 7 20	Nicholas Lane
78 0 4	Wayne Porterfield
25 1 9	Jose Graves
82 0 19	Melissa Wilson
16 10 17	Irene Reid
23 6 1	Kelly Mitchell
86 10 1	Santiago Benton
45 8 21	Katherine Bennett
79 2 1	Patricia Baumann
61 1 18	Kevin Stewart
52 9 15	Diana Alexander
41 5 27	Ronald Scott
41 0 12	Tracy Carvalho
44 10 2	Antoinette Adams
89 11 4	Donald Main
52 6 3	Patti Harvey
83 6 9	Karrie Alvarado
63 11 18	Jane Allen
35 5 10	Nancy Casey
9 5 7	Ronald Stokes
14 6 29	Donald Bennett
69 5 23	Judith Graves
63 3 9	Lynn Tackett
80 9 19	Zada Graves
87 6 25	Ronald Jones
61 7 8	Wayne Horowitz
60 0 26	Lynn Weaver
66 6 7	Barbara Collins
45 8 27	Angel Bennett
68 0 24	Casey Padilla
37 7 1	Amanda Hutchings
20 4 3	Janice Boyle
90 8 25	Kimberly Hughes
38 10 21	George Griffin
74 2 10	Lillian King
85 11 22	Ashley Harris
27 8 19	Gordon Shuman
40 0 0	Devin Doyle
40 5 17	Germaine Wright
14 8 8	Mary Bell
51 11 29	Martin Wood
50 9 21	Nicholas Tate
73 0 1	Helen Caraballo
88 8 17	Norman Gray
24 6 7	Barbara Hernandez
10 5 15	Nicholas Aaron
62 9 20	Irene Evans
13 1 0	Norman Harvey
70 10 1	Wilmer Ross
26 1 19	Alice Caraballo
70 10 6	Clarence Reeves
54 7 0	Felipe Coleman
19 2 18	Inez Dunn
59 4 6	Wade Gonzalez
10 2 5	Dexter Gonzales
65 7 17	Rufus Gray
62 0 2	Steve Alexander
21 7 17	Maria Gray
53 9 5	Tammy Aaron
14 5 25	Gordon Fleming
59 10 7	Maryalice Gray
44 6 22	Anna Barber
85 7 13	Ken Ball
55 5 25	Ella Tiller
40 4 11	Margaret Walters
69 5 26	Andres Hutchings
55 7 8	Lindsay Townsend
67 10 13	Laura Rivera
90 3 5	Nicholas Flaherty
29 10 16	Howard Ingram
13 5 25	Joshua McDonald
40 8 1	Levi Robinson
64 3 12	Zada Hughes
45 8 16	Richard Hampton
40 5 1	Carl Gracia
73 9 24	Timmy Nunez
76 1 18	Barbara Hollins
86 3 29	Johnathan Moore
36 6 3	Barbara Henderson
12 1 13	Lucia Bowen
31 1 30	Jacqueline Lindsey
42 8 26	Ivan Pulliam
88 5 24	Kenneth Barlow
22 7 22	Andrea Horan
64 0 8	Levi Bowling
17 4 5	Fred Nunez
24 4 25	Dwayne Patterson
45 4 11	Lillian Ramirez
51 4 13	Denise King
27 11 24	Lila Hampton
53 9 6	Carley Perez
74 2 16	See Grantham
82 7 19	Lynn Faison
71 2 8	Alycia Carter
44 0 2	Karrie McDaniel
8 1 5	Martha Ingram
24 6 14	Marjorie Barth
60 3 14	Kathleen Foster
81 7 30	Niki Duong
35 2 12	Clark Stewart
57 5 3	Stasia Bennett
43 4 16	Annie Carvalho
72 6 1	Lindsey Holloway
84 9 9	Kathleen Aaron
14 9 5	Michael Ingram
90 2 2	Donald Williams
30 4 2	Jane Maier
87 5 9	Kim Price
25 10 7	Brandon Thompson
32 6 11	Angie Butler
50 1 12	Jane Kelley
40 6 5	Karrie Baker
90 1 19	Timothy Mabry
26 1 23	Aida Butler
32 3 4	Shani Holloway
9 1 28	Estelle Fortune
70 2 9	Bryant Ward
19 7 11	Ryan Morris
15 6 12	Christopher Barnes
9 2 17	Bobby Robinson
28 0 6	Dorothy Roland
13 8 7	Diana Huddleston
49 3 1	Ryan Garcia
42 7 26	Eugene Arevalo
12 6 2	Samual Gonzalez
46 4 17	Earnest Vargas
26 10 28	Belinda Powell
44 10 3	Jacqulyn Freeman
26 2 26	Pamala Archer
84 8 22	Terry Price
84 6 4	Helen Turner
58 11 19	Carley Flores
69 2 25	William James
50 5 30	Dexter Bennett
35 1 28	Dennis Cox
11 3 16	Maryalice Taylor
30 2 21	Michelle Butler
61 8 28	Jennifer Rivera
15 11 8	Anthony Martin
76 11 6	Clarence Harris
37 8 14	Julie Flynn
80 10 21	Wilmer Cox
31 5 8	Martin McDaniel
58 3 23	Dexter Hubbard
35 5 29	Melita Rogers
68 10 1	Niki Perez
46 1 9	Melissa Alexander
56 9 8	Michael Hunt
68 11 14	Clarence Coleman
38 0 22	Anna Sherman
15 9 1	Eileen Bennett
14 10 1	Timothy Humphrey
59 9 23	Ivan Grantham
50 5 28	Norman Moore
73 8 23	Dexter Pibbles
90 8 17	Santiago Boyle
17 11 19	Wade Arevalo
57 9 15	Natalie Neal
78 11 4	Tammy Sterling
65 6 1	Ernest Dennis
67 2 21	Anya Murphy
65 9 17	Samual Howard
45 4 8	Herma Wheeler
82 11 6	Nicolette Turner
8 8 12	Aaron Porterfield
69 5 14	Andre Griffin
75 8 21	Rachel Powell
55 10 17	Ken Webb
55 9 13	Alice Buchanan
16 11 28	Calvin Taylor
36 0 22	Arthur Cooper
85 4 17	Laura Bennett
83 7 0	Krissy Bailey
76 9 4	Niki Horan
37 1 6	Earnest White
12 7 18	Rufus Flowers
53 0 28	Felipe Tackett
49 8 24	Lonnie Harvey
56 1 15	Ashley Webb
84 1 22	Glennis Hutchings
65 5 15	Melita Flaherty
58 6 23	Irene Lopez
20 4 29	Charlene Cox
72 0 19	Johnny Miller
85 2 15	Chris Ball
21 8 23	Pat Brown
58 1 20	Wayne Hindman
88 10 13	Michael Bryant
83 0 29	Estelle Maldonado
44 4 29	Jane Neal
89 1 25	Janice White
42 3 17	Kasie Henderson
47 8 8	Rufus Sherman
48 6 27	Wayne Wilkins
30 1 1	Lila McDonald
22 4 25	Marshall Bennett
80 9 22	Kim Walters
54 11 9	Marie Griffin
15 9 5	Alan Rogers
88 3 2	Jose Pulliam
66 3 23	Lila Banks
74 5 24	Andrew Arevalo
76 9 21	Salvador Hampton
60 9 29	Dennis Boyle
82 0 27	Delaine Lamb
37 6 0	Margaret Wheeler
12 3 9	Catherine Copeland
23 8 27	Estelle Franklin
49 3 30	Kevin Harvey
84 11 22	Ashley Wheeler
39 1 14	Kasie Sanders
41 2 25	Hsiu Walters
39 7 6	Collen Jackson
76 10 10	Teresa Coleman
32 10 13	Eloise Foster
70 7 22	Aaron Jackson
11 7 4	Patricia Washington
36 2 15	Betty Browne
26 10 7	Johnathan Grantham
54 9 25	Natasha Parker
56 8 9	Eugene Clark
56 5 29	Dawne Allen
71 11 10	Krissy Gray
24 9 23	Ernest Blanton
44 5 16	Antoinette Rogers
57 1 9	Nancy Alexander
9 2 6	Nicolette Bailey
43 6 21	Zachary Vargas
53 10 11	Ronald Bass
30 2 27	Rosie Aguilar
72 4 0	Howard Freeman
50 10 16	Jorge Archer
41 8 17	Delaine Williams
89 8 7	Jackeline Baldwin
65 7 29	Nicholas Reeves
57 1 9	Gary Drake
38 9 23	Marshall Banks
73 1 18	Natalie Stokes
11 7 7	Mary Scott
29 1 27	Laura Taylor
9 4 21	Barbara Wagner
78 10 5	Belinda Coleman
75 2 30	Anna Graves
48 1 12	Alejandro Moran
28 6 16	Spencer Maier
31 3 14	Stephenie Tackett
22 2 2	Dennis Evans
52 4 21	Dani Lanham
81 9 19	Jane Mitchell
37 11 10	Raymond Alexander
12 2 29	Darrin Anderson
81 2 30	Julie Duong
39 4 28	Willie Barber
9 7 3	Jason Platt
39 9 7	Darrin Paul
59 3 9	Adam Ramirez
49 3 11	Lindsay Richardson
52 6 28	Chris Fenton
15 10 27	Charles Roy
32 9 7	Wade Dennis
44 9 23	Christopher Barlow
70 6 26	Ronald Evans
36 3 5	Wade Tate
83 10 5	Clarence Smith
66 3 10	Shani Lewis
67 1 19	Jean Maier
60 2 28	Brian McDaniel
80 4 25	Vera Weaver
74 2 0	Cynthia Graves
82 11 2	Pamela Baker
34 2 30	Sophia Blanton
44 3 12	Terrell Kelly
26 7 2	Johnny Morris
89 10 9	Janet Lopez
59 10 30	Felipe Lopez
9 7 25	Deborah Rogers
18 10 30	Nancy Peterson
80 6 29	Rebecca Archer
8 10 20	Darrin Price
17 9 20	Johnny Horowitz
71 3 25	Ella Scott
46 8 15	Tammy Flaherty
86 5 26	Erica Williams
14 7 26	Anya Bailey
62 7 5	Brandon Jackson
42 5 4	Yuonne Vega
56 5 21	Cecil Main
46 9 6	Carl Ruiz
10 8 6	Ronald Smith
26 7 29	Eugenia Long
31 2 22	Timothy Coleman
30 1 26	Johnathan Marsh
42 6 3	Dennis Martinez
84 9 15	Anthony Rodriguez
52 5 10	Ken Lewis
68 1 9	Wanda Dean
46 5 21	Jane Harvey
20 0 19	Jane Simpson
70 3 25	Mary Drake
18 3 23	Max Fenton
10 3 1	Jack Hernandez
74 6 29	Natalie Padilla
28 11 22	Lillian Hines
86 0 23	Ryan Scott
90 1 1	Ken Hardy
31 7 12	Cheryl Henderson
22 1 19	Marjorie Platt
38 2 29	Charlene Marsh
82 2 21	Collen Platt
31 3 17	Angel Doyle
80 2 2	Val Rogers
80 3 26	Val Clark
62 0 25	Catherine Collins
71 10 7	Eloise Medina
41 10 30	Eileen Hampton
13 5 15	Jane Watson
16 0 30	Jose Morgan
82 1 7	Gregory Sherman
23 7 1	Pamela Reid
63 2 20	Angel Freeman
70 1 21	Marjorie Harris
55 11 26	Marion Torres
20 1 26	Jeremy Moran
42 2 5	Tracy Morris
49 9 5	Mary Brooks
55 7 29	Eugenia Aguilar
21 6 11	Gerard Turner
87 7 19	Krissy Steadman
40 2 7	Wayne Coleman
55 9 19	Gregory Evans
9 5 15	Ashley Robinson
69 5 25	Johnny Baumann
25 10 17	Anya Alvarado
45 2 16	Elijah Mabry
51 1 2	Lindsay Miller
67 7 21	Alycia Dunn
8 1 24	Khadijah Bell
12 10 11	Oretha Jones
54 3 25	Jeremy Harvey
13 6 16	Lynn Flores
39 0 22	Gary Adams
62 11 19	Shani Faison
16 10 15	Andre Vaughn
30 6 0	Deborah Thompson
40 0 13	Levi Ruiz
43 6 5	Levi Barlow
50 0 20	Belinda Wilkins
35 8 8	Dexter Bryant
69 10 30	Earl Lindsey
8 1 18	Kathy Simpson
87 5 28	Jane Wright
46 6 14	Treva Price
59 2 29	Santiago Richardson
60 0 15	Pamala Benton
66 4 9	Lynn Lindsey
54 8 20	Maryalice Hunt
74 10 24	Angie Murphy
46 6 20	Jane Harris
87 4 19	Rufus White
85 8 17	Norman Watson
24 8 9	Grace Cox
83 10 16	Claudine Gonzales
45 1 6	Eugene Russell
76 3 24	Timothy Peters
90 4 8	Frankie Hutchings
29 2 16	Rafael Johnson
46 5 24	Angel Lee
40 9 3	Stephenie Alexander
42 11 27	Maddie Johnson
16 10 25	Alma Horan
49 0 24	Angel Stewart
27 4 13	Calvin Price
11 0 26	Bryant Harris
20 3 17	Kathy Brockman
23 2 10	Eugene Simmons
74 11 10	Jeremy Murphy
18 4 23	Deborah Harrington
63 5 17	Angel Watson
47 7 26	Stasia Knight
74 1 24	Margaret Campbell
74 0 9	Lindsay Moran
29 4 2	Anya Sullivan
8 3 10	Collen Miller
49 9 2	Melissa Murphy
11 6 26	Jacqueline Collins
