3193
39 2 30	Nicholas Watson
58 10 21	Eloise Huddleston
87 2 13	Krissy Arevalo
48 0 11	Lillian Sullivan
41 8 28	Jose Fleming
63 5 16	Jane Payne
37 8 4	Tammy Carvalho
23 5 3	Terrell Willis
89 9 28	Wilmer Hudson
56 4 21	Denise Henderson
85 7 10	Frankie Carr
66 9 25	Laurence Barth
79 8 9	Nicholas James
76 7 5	Aida James
84 0 24	Irene Russell
19 6 23	Mary Tate
57 8 3	Edward Bowen
70 1 0	Katherine Evans
61 7 19	Shani Holt
48 2 24	Stasia Baldwin
86 5 19	Benjamin Watson
14 3 3	Karrie Tiller
80 2 4	Sophia Murphy
64 5 13	Tammy Gonzalez
16 5 12	Eugenia Moody
18 7 1	Timothy Holland
25 3 18	Michelle Jones
30 7 14	Lillian Davis
53 10 10	Dorothy Diaz
8 2 3	Jenifer Wilkins
53 8 11	Teresa Fortune
62 2 18	Luz Alvarado
62 0 26	Jack Perry
39 10 21	Ivan Evans
59 11 17	Arthur Knight
34 1 4	Christopher Boyle
58 9 5	Marilyn Washington
63 8 28	Janice Campbell
15 8 14	Yuonne Robinson
55 6 1	Walter Perkins
28 9 6	Shrimply George
36 5 24	Annie Jenkins
32 7 12	Dennis Sullivan
75 5 26	Dexter Morris
29 7 1	Kathy Alexander
64 11 14	Ken Nunez
87 10 8	Rebecca Hubbard
29 3 18	Kasie Wagner
67 2 24	Devin Walters
50 10 19	Gordon Holland
42 5 17	Joanne Marsh
42 2 26	Dani Dean
44 9 15	Clayton Thompson
23 5 21	Johnathan Harris
40 5 17	Kevin White
21 1 29	Chris Walker
52 9 20	Cynthia Powell
49 5 20	Johnathan Gonzales
82 6 28	Salvador Lanham
38 0 20	Kasie Ross
24 7 23	Grace Simpson
28 0 20	Deborah Allen
79 9 26	Christopher Wagner
20 9 30	Alma Jones
48 4 24	Natalie Williams
42 0 6	Shanelle Reed
66 9 14	Patricia Ball
35 6 11	Mary Vargas
73 8 2	Pamala Price
27 0 17	Dorothy Powell
19 7 1	Brandon Banks
19 10 15	Joshua Dennis
55 9 9	Kevin Wheeler
74 0 6	Ken Flynn
55 1 14	Eloise Lopez
39 6 5	Marjorie Watson
88 8 6	Delaine Cox
63 4 18	Mary Evans
37 4 6	Steve Orosco
48 6 12	Diana Edwards
14 3 29	Terence Carvalho
76 8 22	Ivan Thompson
43 1 14	Andre Simpson
84 4 0	Tracy Morris
34 0 19	Richard Kelley
31 5 22	Dani Casey
17 10 7	Josphine Jenkins
62 4 6	Sherri Rodriguez
76 11 21	Delaine Baker
29 1 20	Barbara Medina
64 0 29	Richard James
33 5 4	Josphine Alvarado
54 8 24	Deborah Bowen
58 0 18	Terrell Seymore
42 7 12	Patti Gonzalez
90 6 8	Nicolette Parker
62 6 5	Timothy Hutchings
11 7 25	Joe Roy
44 9 23	Karen Coleman
49 5 21	Helen Flores
19 3 6	Earl Butler
85 6 14	Michelle Barth
54 0 6	Pamela Peterson
11 6 12	Andrew Anderson
66 1 12	Lindsey Washington
21 5 15	Wilson Carvalho
12 5 19	Candelaria Lee
89 5 19	Richard Webb
81 11 0	Casey Nelson
31 6 8	Betty Bryant
18 0 11	Teresa Steadman
23 1 10	Frankie Davis
73 9 21	Martin Sanders
55 7 15	David Copeland
27 0 14	Luz Reid
80 4 2	Diana Rodriguez
11 6 8	Susan Jackson
81 10 22	Charlene Meyer
14 0 19	Cynthia Nelson
73 11 26	Lila Mabry
42 7 28	Andrew Carter
30 6 24	Clayton Meyer
55 11 27	Anthony Stewart
77 7 8	Mary Boyle
86 3 28	Timothy Vaughn
87 7 12	Frankie Rivera
18 9 13	Hsiu Parker
37 7 10	Stephenie Gonzalez
60 0 5	Pamela Torres
29 7 13	Andrew Henderson
55 7 30	Fred Harris
21 5 29	Lindsey Horan
66 1 7	Lonnie Padilla
21 3 25	Pamela Reddick
60 10 30	Kasie Washington
56 7 23	David Evans
16 8 19	Eliana Miller
28 7 12	Rebecca Henderson
60 0 21	Valerie Holland
56 9 10	Eugenia Lane
43 1 7	Julie Ruiz
76 9 13	Bryant Ramirez
14 2 12	Walter Perez
45 3 12	Brandon Harrison
25 3 18	Nelson Goodrich
86 0 26	George Ward
37 6 21	Earl Harrison
83 6 3	Pamela Scott
74 6 14	Eugenia Lee
18 0 22	Jane Russell
27 8 9	Santiago Freeman
88 4 17	Kimberly Morris
60 5 24	Marie Fleming
56 6 3	Ken Lewis
29 8 15	Erica Medina
9 5 30	Ronald Price
79 4 3	Anya Ramirez
60 7 30	Rosie Wright
68 7 30	Howard Norman
33 7 26	Hugh Lee
50 11 4	Oretha Rivera
18 1 28	Arthur Shuman
56 8 11	Patti Campbell
56 6 7	Mildred Kelly
24 11 9	Rachel Bowen
65 10 30	Benjamin Yoon
14 8 3	Aida Stewart
17 4 8	Lila Maldonado
67 5 12	Luz Ingram
63 1 19	Mildred Wheeler
28 8 20	Cheryl Johnson
18 8 18	Heidi Turner
32 11 7	Melita Ruiz
90 2 5	Janice Bowen
60 6 11	Lila Parker
77 10 16	Jose Barlow
55 7 0	Doris Cox
23 6 12	Charles Orosco
70 3 28	Karen Bell
72 1 29	Devin Foster
13 0 15	Cynthia Sullivan
65 1 4	Tracy Dennis
23 7 28	Myron Torres
61 10 4	Andre Flaherty
80 2 3	Brandon Price
38 6 4	Michael Ruiz
23 8 26	Clarence Gracia
9 3 13	Deborah Harvey
42 4 22	Maddie Price
48 7 18	Val Whitworth
81 3 14	Diane Carvalho
74 5 11	Sarah Rhodes
57 9 16	Brandon Lanham
12 3 10	Jason Goodrich
47 8 16	Khadijah Stewart
42 11 24	Wayne Maier
47 7 27	Janice Reed
72 7 19	Janice Benton
64 7 29	Ken Bryant
38 1 24	Christine Henderson
70 10 6	Ivan Brown
29 4 15	Teresa Richardson
12 8 20	Wilmer Thompson
75 6 13	Stasia Collins
75 3 19	Mary Brown
82 8 14	Belinda Hardy
62 8 28	Eileen Hill
50 7 25	Irene Franklin
16 0 14	Nicholas Shuman
81 10 25	Mary Torres
74 11 15	Oretha Hernandez
74 6 17	Martha Turner
89 2 28	Eugenia Webb
33 7 8	Patti Coleman
70 4 14	Natasha Benton
86 0 19	Kimberly Tate
65 7 0	Melissa Thompson
43 11 30	Brandon Tackett
20 1 17	Rebecca Barth
9 2 22	Ivan Marsh
89 6 19	Elijah Bell
14 4 19	Pamela Moody
75 10 9	Jose Humphrey
55 1 8	Wilson Sullivan
63 0 23	Erica Morgan
18 0 5	Gerard Green
13 8 10	Brandon Price
67 3 0	Nelson Gracia
73 2 0	Carl Davis
90 8 11	Martin Henderson
48 11 28	Helen Orosco
63 7 25	Belinda King
29 3 11	Nelson Flowers
85 8 6	Martin Doyle
16 9 17	Adam Baumann
34 3 8	Joanne Butler
77 7 21	Kasie Roland
41 11 23	Maria Wilson
42 9 21	Raymond Campbell
52 2 9	Jason Marsh
64 11 14	Eileen Harrington
25 11 1	Charles Faison
72 3 25	Estelle Fenton
20 9 6	Max Wagner
71 5 8	Donald Rivera
73 5 7	Wilmer Barber
72 7 14	Ashley Lewis
34 7 7	Barbara Carvalho
52 4 0	Rosie Hollins
47 0 15	Ernest Baumann
71 11 2	Terry Wood
70 7 24	Heidi Wheeler
61 11 26	Spencer Gonzalez
45 1 30	Dennis Doyle
50 5 23	Benjamin Ruiz
76 5 11	Wade Scott
24 3 28	Belinda Peters
72 7 6	Casey Holt
37 10 8	Arthur Taylor
8 6 6	Wayne Bennett
49 11 16	Lillian Main
14 5 17	Jackie Fortune
33 7 26	Gary Barrett
73 9 13	Grace Hines
80 3 23	Michael Harris
28 2 5	Edward Barrett
71 2 12	Delaine Taylor
82 9 0	Kelly Baker
34 11 0	Earnest Collins
15 11 26	Lindsey Flowers
44 10 1	Casey Griffin
19 9 29	Charles Tiller
73 8 27	Kenneth Jenkins
58 3 6	Inez Turner
30 0 10	Calvin Wilkins
90 6 13	Betty Miller
82 2 17	Heidi Bryant
10 7 29	Kimberly Henderson
16 1 2	Martin Bryant
19 10 6	Spencer Buchanan
41 9 18	Michael Padilla
60 1 13	Jose Lane
77 3 27	Treva Rivera
30 3 22	Shrimply Flores
41 8 24	Claudine Hernandez
20 5 29	Martha Mabry
61 0 29	Michelle Lee
78 8 9	Antoinette Harrison
68 3 21	Deborah Reddick
31 1 19	Doris Green
85 8 6	Jose Harrington
66 2 15	Devin Harvey
77 5 9	Mary Archer
69 7 26	Judith Murphy
23 8 22	Lillian White
80 10 1	Alejandro Hale
18 11 21	Tracy Banks
58 5 21	Marshall Young
61 9 12	Ryan Hill
83 9 15	Salvador Gracia
44 1 25	Jacqulyn Martin
22 8 6	Ronald Simpson
83 4 12	Myron George
75 5 8	Frankie Sterling
21 7 21	Robin Pibbles
12 1 1	Sarah Peterson
74 4 3	Jenifer Lewis
77 6 11	Angelika Collins
36 0 13	Andre Bailey
45 3 15	Kimberly Moody
46 8 27	Sharon Platt
69 5 3	Fred Drake
58 11 10	See Scott
9 5 29	Santiago Willis
11 9 14	Darrin Reid
71 0 19	Steve Diaz
15 11 12	Katherine Blanton
63 2 2	Johnny Wagner
18 6 10	Angie Powell
62 7 22	Marilyn Gonzalez
62 3 24	Donald Lewis
25 1 14	Luz Hines
82 11 9	Jack Barnes
20 11 29	Aaron Butler
8 10 10	Diane Faison
74 6 4	Alma Doyle
90 11 20	Ernest Wagner
33 2 20	Andrew Edwards
65 2 23	Levi Collins
15 0 3	Jackeline Diaz
27 11 3	Collen Ross
42 7 9	Lindsay Sterling
53 4 20	Alejandro Wheeler
14 10 7	Maddie Rhodes
68 9 5	Kathy Copeland
51 7 6	Jacqueline Hollins
49 1 15	Treva Harvey
82 2 22	Spencer Main
62 3 22	Nicolette Fortune
18 6 15	Aida Barber
27 9 8	Zachary Townsend
11 7 30	Dani Hubbard
66 2 20	Janet Perez
13 4 2	Jane Henderson
90 9 13	Patti Yoon
65 5 28	Kimberly Faison
17 10 21	Lillian Cox
50 10 0	Erica Bryant
55 6 4	Spencer Garcia
68 10 9	Aubrey Reddick
79 11 22	Estelle Dunn
28 7 20	Karen Bennett
11 3 19	Kathy Phillips
42 4 3	Dwayne Bennett
44 6 16	Tammy Steadman
86 2 30	Joanne Paul
29 7 22	Gary Tate
67 3 16	Jenifer Parker
86 2 9	Erica Harris
68 2 4	Frankie Carter
54 10 15	Kathleen Gonzales
55 7 1	Jacqulyn Alvarado
23 2 12	Janice Morgan
66 1 28	Deborah Perkins
74 10 17	Jane Roy
75 0 17	Jack Aguilar
80 0 3	Maddie Casey
61 0 10	Ashley Seymore
18 9 18	Spencer Diaz
56 3 14	Edward Vega
16 11 25	Terence Ruiz
63 10 20	Heidi Richardson
11 7 14	Timothy Cooper
43 5 26	Salvador Alvarado
79 3 7	Laurence Hernandez
67 9 2	Bryant Evans
64 10 2	See Dean
35 4 7	Sherri Hampton
90 5 5	Julie Horan
51 5 13	Marshall Moore
70 8 13	Barbara Phillips
80 1 3	Herma Lewis
90 11 23	Vera Jenkins
50 3 7	Nancy Walters
90 9 29	Terry Harris
77 10 16	Eugene Morgan
20 1 19	Adam Moore
27 8 28	Lillian Hudson
68 8 23	Yuonne Casey
84 10 26	Kathleen Baumann
64 4 19	Terry Horowitz
68 11 18	Inez Brockman
42 3 5	Kevin Ruiz
37 4 4	Ivan Faison
17 5 14	Pamala Steadman
82 0 25	Margaret Roy
11 3 11	Clarence Coleman
12 7 1	Jeni Gonzalez
52 5 28	Rafael Cook
14 0 5	Hugh Wright
25 1 0	Gregory Roberts
11 2 30	Doris Caraballo
86 8 25	Felipe Hollins
76 11 1	Grace Arevalo
23 0 29	Felipe Stokes
42 5 2	Marie Flores
16 0 27	Roy Coleman
17 11 5	Ronald Steadman
35 8 10	Maria Horan
16 10 24	Deborah Walker
75 5 28	Steve Anderson
22 4 23	Clarence Miller
11 11 29	Antoinette Archer
8 9 6	Jacqueline Wood
83 8 5	Lila Simpson
77 7 13	Luz Yoon
85 7 14	Terry Baldwin
58 0 9	Patricia Stokes
62 7 20	Inez Ross
54 5 18	Earl Henderson
72 5 24	Jorge Gray
46 10 20	Eugene Sullivan
61 11 24	Katherine Harrington
90 5 18	Alma Harrison
86 11 30	Randee Turner
65 5 26	Donald Martinez
60 9 30	Shani Murphy
36 11 22	Delaine Sanders
8 3 6	Wilmer Hampton
73 7 16	Melita Barrett
10 6 2	Brandon Flynn
24 8 25	Andres Griffin
82 10 0	Raymond Hamilton
57 3 16	Angie Vega
71 3 16	Natalie Russell
21 4 14	Niki Wagner
51 0 14	Joe Brockman
77 1 14	Grace Moore
89 11 15	Dawne Davis
22 10 24	Angel Dennis
87 7 11	Anna Humphrey
24 1 29	Luz Brown
71 9 11	Calvin Brooks
66 7 0	Dennis Dean
38 7 7	Teresa Paul
30 5 8	Raymond Kelley
46 2 28	Sophia Sanchez
13 11 27	Margaret Lamb
12 11 29	Mildred Roland
10 0 21	Margaret Taylor
18 1 9	Lillian Nelson
74 5 25	Lonnie Hubbard
20 3 4	Roger Rivera
77 0 18	Tammy Boyle
39 10 26	Michael Lewis
21 1 7	Willie Campbell
42 7 28	Treva Baumann
60 11 5	Walter Boyle
35 5 10	Eloise Gonzalez
18 2 6	Clarence Moody
18 11 1	Pat Wood
72 7 0	Lonnie Clark
45 2 6	Eliana Baumann
64 8 15	Earnest Vaughn
86 10 25	Christopher Parker
42 5 11	Eugenia Dennis
47 11 12	Santiago Hale
28 9 13	Calvin Patterson
64 4 21	Christopher Barlow
21 3 18	Catherine Taylor
40 9 18	Salvador Weaver
53 3 6	Pat Bell
57 4 4	Cecil Moody
23 4 21	Sherri Fenton
30 1 28	Myron Yoon
10 8 19	Barbara Phillips
52 1 29	Alice Harris
21 9 19	Natasha Stewart
34 10 16	Belinda Archer
24 7 12	Edward Bryant
54 11 14	Nancy Sterling
29 8 25	Kasie Hamilton
84 7 14	Carl Ruiz
76 1 25	Clark Sullivan
23 7 9	Sarah Freeman
63 11 9	Clayton Reyes
71 9 24	Arthur Evans
51 0 3	Devin Blanton
27 4 30	Johnny Shuman
44 1 29	Zada Walters
50 11 20	Sharon Foster
78 1 27	Kenneth Knight
9 7 0	Anna Gonzalez
67 0 20	Mildred Tiller
38 0 24	Delaine Walters
38 9 24	Pat Meyer
53 3 26	Grace Torres
57 9 13	Karen Patterson
11 6 14	Katherine Gray
58 3 21	Joe Platt
63 8 24	Marjorie Brooks
36 7 4	Jacqulyn Marsh
51 7 15	Terrell Tiller
51 7 16	Mary Watson
39 8 23	Christine Caraballo
69 7 11	Fred Weaver
70 3 5	Ernest Simpson
43 3 30	Ivan Barth
61 0 18	Denise Browne
33 7 0	Deborah Foster
81 11 16	Christopher Bailey
67 10 10	Aubrey Hughes
41 7 23	Lindsay Parker
73 9 10	Tammy Hines
83 1 0	Felipe Ball
74 10 12	Dennis Lanham
24 1 27	Adam Fleming
36 9 11	Amanda Browne
76 11 15	George Benton
13 3 2	Vera Jenkins
58 7 28	Jackeline Flores
84 7 5	Kevin Watson
79 1 17	Patti Roberts
87 0 2	Deborah Price
39 5 13	Eugene Perez
58 4 15	Melissa Jones
49 10 27	Wilson Orosco
27 10 4	Dexter Wright
11 8 21	Ivan Porterfield
53 10 14	Ramiro Patterson
52 10 3	William Bell
76 1 4	See Kelley
72 10 0	Treva Grantham
81 5 16	Eliana Scott
66 4 7	Elijah Taylor
86 4 18	Fred Huddleston
16 0 23	Josphine Fleming
57 7 17	Salvador Harris
69 0 10	Alejandro Perez
89 11 14	Roy Copeland
41 9 25	Lillian Mitchell
84 0 28	Earl Cook
21 11 24	Melita Edwards
28 2 2	Calvin Morgan
82 3 17	Nancy Brockman
52 7 12	Terrell Howard
9 3 9	Aubrey Edwards
65 3 20	Brandon Watson
25 4 29	Delaine Roland
38 10 3	Zada Main
55 4 26	Janet Turner
10 4 10	Julie Humphrey
67 8 4	Nelson Perry
57 6 6	Eileen Moran
82 5 26	Lila Pibbles
41 1 16	Claudine Buchanan
36 4 21	Mildred Goodrich
72 7 18	Mary Cox
50 7 0	David Campbell
38 3 14	Karen Huddleston
79 7 29	Brandon Barth
90 7 17	Betty Martinez
65 6 21	Martin Casey
14 4 18	Jane Campbell
17 1 0	Chris Simpson
86 5 19	Shani Aaron
44 2 4	Adam Hughes
28 3 20	Kevin Hughes
80 11 6	Angel Hale
71 1 15	Maryalice Stewart
11 2 10	Lucia Nelson
33 7 15	Maria Olvera
42 8 1	Patti Hughes
17 11 8	Dani Cook
49 2 16	Andrea Cox
8 6 1	Patti Harris
69 11 13	William Alvarado
19 5 27	Wayne Rivera
37 1 7	Dexter Smith
13 6 0	Alan Aaron
16 9 12	Terrell Hughes
86 4 12	Ella Huddleston
52 1 29	Jose Seymore
51 0 3	Marion Collins
8 6 26	Melissa Sanchez
76 0 19	Jack Nelson
9 1 27	Shanelle Bowling
74 11 3	Lindsay Long
54 6 10	Doris Walker
78 9 10	Jennifer Alvarado
23 9 12	Sophia Martinez
31 2 20	Karen Taylor
64 4 11	Sherri Flowers
26 10 29	Pamala Horan
39 5 17	Carl Tate
38 0 8	Annie Maier
24 7 9	Helen Reyes
66 4 5	Collen Watson
85 4 27	Terence Hollins
15 7 3	Angel Alexander
81 6 12	Darrin Bennett
80 10 12	Deborah Thompson
65 11 13	Diane Gracia
78 2 21	Maria Webb
48 2 19	Nicholas Robinson
10 10 19	Jorge Long
30 11 21	Nancy Lanham
70 2 8	Nicolette Yoon
62 10 4	Santiago Graves
25 4 12	Jane Roy
53 6 30	Estelle Barlow
23 0 29	Edward Bass
75 1 27	Bryant Knight
64 0 2	Cheryl Wright
37 3 29	Salvador Barnes
76 9 6	Natalie Hall
35 1 22	Jacqueline Coleman
86 10 9	Nicolette Gonzalez
29 10 25	Christine Steadman
66 7 8	Heidi Townsend
41 0 23	Calvin Sanders
69 10 30	Diane Hunt
90 9 5	Angel Bailey
46 2 18	Dwayne Lindsey
57 10 12	Ashley George
15 8 22	Lillian Sterling
21 1 25	Rufus James
19 8 16	Patti Henderson
36 2 11	Joshua Baker
62 4 15	Angelika Evans
38 5 2	Joshua Russell
49 0 29	Nelson Boyle
76 4 15	Angel Nunez
46 6 12	Brandon Bryant
36 0 9	George Knight
18 1 26	Sherri Henderson
37 1 0	Mary Hollins
34 11 23	Roger Phillips
42 11 13	Eugenia Kelley
12 1 3	Stasia Phillips
53 11 24	Estelle Moody
87 7 16	Bryant Hollins
17 11 27	Angie Mitchell
28 6 13	Mary Reeves
40 10 20	Timmy Archer
29 11 15	Andrew Ross
83 10 26	Luz Holloway
42 9 13	Calvin Harvey
41 9 30	Andrew Ward
26 4 6	Andre Goodrich
83 3 20	Rebecca Holt
85 6 8	Elijah Holloway
32 10 25	Eileen Lopez
45 3 24	See Bryant
87 6 7	Ella Flaherty
49 5 2	Josphine Torres
55 10 5	Barbara Green
43 9 14	Robin Aaron
51 8 22	Gregory Thompson
50 11 11	Ernest Ward
54 9 13	Natalie Hubbard
38 2 9	Pamela Nelson
57 10 1	Dexter Medina
61 3 12	Terry Ball
46 7 0	Jose Wright
63 8 20	Janet Butler
58 10 7	Jane Foster
73 8 17	Terrell Baldwin
85 8 25	Max Reyes
74 2 18	Christine Hines
21 10 25	Marion Jenkins
17 7 26	Christopher Rhodes
18 0 1	Yuonne Smith
27 3 22	Estelle Watson
49 10 1	Glennis Roy
48 7 6	Bobby Hill
35 1 6	Jason Peters
70 3 7	Valerie Howard
40 2 1	Terence Baldwin
79 0 5	Marilyn Graves
60 1 24	Karrie Morgan
58 4 1	Brandon Wilkins
15 11 11	Anthony Lewis
33 1 17	Estelle Hindman
16 10 2	Hsiu Hubbard
21 2 11	Jackeline Watson
48 5 25	Dwayne Hutchings
8 0 28	Lucia Brockman
81 7 19	Jane Olvera
43 2 23	Aida Peterson
27 5 27	Kelly Dennis
58 5 24	Julie Carvalho
75 1 13	Niki Brooks
78 6 16	Kathy Gray
67 3 22	Max Howard
18 4 8	Nancy Johnson
87 6 26	Maryalice Fenton
18 0 9	Lynn Goodrich
22 4 23	Krissy Diaz
70 2 17	Sharon Griffin
85 4 1	Sarah Gray
47 0 22	Zada Bailey
64 1 8	Doris Vega
12 10 27	Hugh Anderson
23 3 17	Dani Knight
63 10 13	Wilson George
87 5 16	Natalie Martinez
87 2 1	Joshua Brockman
60 11 23	Howard Brockman
77 6 18	Calvin Garcia
90 2 21	Brandon Bell
25 0 11	Patti Brown
89 11 20	Ernest Henderson
42 1 15	Carley Yoon
74 4 0	Raymond Edwards
73 3 2	Richard Peterson
69 5 22	Nicholas Allen
49 4 14	Jonathan Garcia
27 2 18	Natasha Vargas
19 0 30	Herma Torres
81 2 9	Kenneth Perkins
58 5 0	Carl Maldonado
68 7 4	Oretha Reyes
68 11 6	Jane Harris
51 7 3	Denise Harris
57 6 2	Kimberly Hudson
83 8 18	Martin Edwards
88 6 3	Stephenie Sherman
71 0 28	Deborah Fenton
67 3 25	Fred Mabry
42 9 11	Charles Benton
42 0 7	Willie Wood
8 8 23	Wayne Faison
67 5 1	Wanda Sterling
41 6 19	Lillian Vega
73 7 15	Felipe McDaniel
69 9 3	Laurence Mccune
8 1 24	Kevin Brockman
45 1 24	Chris Reid
32 8 23	Devin Sanchez
70 9 8	William Robinson
50 7 1	Karrie White
26 5 14	Ryan Clark
27 3 10	Dwayne Holloway
58 0 18	Arthur Richardson
36 0 20	Christine Vaughn
28 5 27	Wayne Roy
30 0 13	Wilson Flaherty
77 11 27	Alejandro Bass
52 11 27	Rachel Coleman
77 8 12	Lindsey King
38 3 24	Felipe Campbell
58 5 26	Andres Long
52 1 16	Eliana Benton
80 5 9	Alan Arevalo
48 8 22	Jacqulyn Campbell
57 2 14	Sharon Jenkins
12 8 5	Hugh Hindman
89 8 12	Randee Hale
19 7 7	See Kelly
67 1 27	Alma Long
60 0 29	Charles Perkins
50 7 13	Joe Bell
46 11 26	Stephenie Lewis
78 7 19	Candelaria Cook
57 9 6	Ronald White
82 2 2	Wilmer Hamilton
56 4 3	Tammy Coleman
67 6 1	Jean Taylor
86 11 6	Joe Tiller
64 0 24	Andres Shuman
27 10 14	Arthur Wheeler
70 7 8	Johnathan Goodrich
27 7 29	Andre Perry
11 7 0	Eliana Clark
55 1 3	Andre Martin
74 3 6	Calvin Reed
55 8 15	Andrea Aguilar
52 2 26	Claudine Lee
75 9 30	Irene Sanders
36 0 3	Brandon Morgan
41 3 18	Lila Harrison
81 7 16	Gerard Walker
10 11 11	Barbara Harrison
25 3 22	Aaron Griffin
47 0 30	Herma Thompson
20 1 19	Gordon Rhodes
22 3 14	Terrell Campbell
66 3 16	Lillian Lanham
87 7 5	Kasie Ramirez
44 10 29	Eliana Goodrich
90 11 7	Fred Adams
12 2 13	Nicholas Tackett
27 4 15	Alma Harvey
81 4 23	Rachel Yoon
46 6 1	Lillian Hernandez
12 1 17	Marion Ruiz
68 11 0	Joanne Butler
19 5 3	Dennis Vega
53 10 24	Brandon Martinez
41 2 21	Rafael Martinez
13 11 3	Ramiro Gonzalez
45 6 2	Nicolette Hall
55 2 3	Lynn Foster
34 1 11	Pamela King
53 1 28	Adam Perez
11 1 26	Janet Tiller
46 11 1	Dani Reyes
31 9 18	Lindsay Ruiz
73 11 15	Pamala Platt
19 5 13	Mildred George
17 6 26	Wade Tiller
13 8 23	Eloise Wheeler
26 8 27	Calvin Kelley
55 11 25	Julie Horan
43 0 21	Wilmer Hughes
10 9 14	Santiago Collins
63 5 12	Michael Bass
27 9 19	Karen Carr
53 4 16	Erica Hunt
13 8 22	Irene Lindsey
19 1 3	Marion Drake
34 0 16	Norman Foster
24 7 20	Martin Holt
55 6 5	Andrew Sherman
44 4 0	Germaine Carr
75 10 28	Brandon Perkins
88 1 25	Brandon Perez
9 0 29	Karen Tackett
79 5 12	Sophia Miller
37 11 11	Karen Harrington
19 6 16	Samual Lanham
33 9 28	Alma Murphy
80 7 25	Eloise Thompson
18 11 20	Delaine Platt
44 0 27	Calvin Bowling
61 2 29	Carley Lindsey
74 9 21	Kathy Ross
61 11 6	Rebecca Hindman
20 3 5	Adam Young
82 1 6	Angelika Alvarado
53 1 14	Eliana Price
72 3 19	Katherine Martinez
50 0 27	Casey Rivera
24 7 10	Eugenia Brown
20 2 15	Terence Reyes
63 11 18	Christine Franklin
60 5 25	Calvin Wilson
15 11 23	Joanne Roberts
11 3 0	Brandon Henderson
50 1 12	Shani Flaherty
17 11 9	Angie Butler
79 6 16	Melissa Campbell
48 8 7	Lonnie Patterson
26 7 3	Kelly Faison
71 3 9	Clayton Anderson
20 10 16	Earl Norman
83 6 24	Samual Hill
27 2 21	Germaine Roland
22 2 9	Vera Wood
12 9 16	Michelle Johnson
75 6 18	Wayne Dean
59 8 12	Kathy Fortune
33 11 27	Kathleen Medina
35 2 24	Randee Casey
83 2 0	Teresa Griffin
38 6 28	Zada Price
74 4 13	Charles Baumann
25 10 7	Mary Ruiz
43 6 6	Melita Martinez
76 0 0	Dennis Young
43 7 18	Lonnie Wilkins
50 6 24	Sharon Flynn
66 11 29	Dennis Flaherty
22 5 30	Belinda Alvarado
67 11 4	Jason Barrett
63 2 24	Marshall Cox
75 5 29	Herma Bailey
33 11 4	Dani Peterson
88 1 14	Jose Hampton
36 9 27	Fred Scott
27 10 21	Ella Holloway
49 2 26	Nicolette Townsend
19 11 29	Norman Adams
45 11 14	Zachary Henderson
35 6 7	Ken Nunez
51 2 17	Catherine Young
74 8 19	Nancy Carr
57 1 30	Lillian Russell
59 1 26	Wanda Hollins
74 7 10	Barbara Maier
55 4 8	Margaret Reed
13 7 12	Alycia Harris
60 3 5	See Alexander
63 3 23	Howard Walker
59 7 23	Yuonne Kelly
26 0 5	Melita Hollins
9 10 15	Barbara Shuman
15 4 9	Kelly Humphrey
75 7 2	Willie Griffin
57 2 0	Gary Holloway
29 6 4	Bryant Franklin
40 11 25	Sarah Banks
81 8 25	Val Taylor
11 0 5	Stephenie Gonzalez
8 6 8	Niki Mitchell
72 11 10	Jeni Pibbles
29 6 20	Ken Flores
32 6 30	Marion Ramirez
82 3 28	Joshua Collins
80 6 9	Nicolette Dunn
58 0 14	Clarence Ward
20 9 13	Lila Banks
17 0 18	Janice Sterling
76 5 16	Angelika Weaver
15 7 14	Glennis Evans
41 8 2	Kenneth Browne
32 4 15	Lila Taylor
73 8 23	Shani Thompson
63 6 30	Sherri Hudson
67 5 22	Delaine King
12 5 5	Clarence Perkins
31 11 22	Delaine Perkins
31 4 28	Hugh Roland
50 1 6	Estelle Casey
29 9 27	Vera Holland
68 6 8	Terry Horowitz
61 2 24	Germaine Orosco
31 9 23	Clayton Flynn
71 5 24	David Reddick
9 5 10	Robin Brockman
84 4 28	Nancy Casey
88 1 24	Walter Archer
53 8 11	Lillian Hughes
37 3 25	Lucia Campbell
18 1 23	Charlene Flaherty
40 10 26	Myron Watson
73 4 9	Diana Gonzales
85 5 1	Rachel Tackett
52 6 30	Val Harris
73 8 20	Alan Miller
79 5 12	William Platt
80 5 18	Eloise Young
35 9 12	Nelson Hubbard
57 1 28	Timmy Horowitz
50 9 24	Nicolette Sterling
11 7 1	Michelle Benton
11 4 24	Wayne Norman
35 8 27	Diane Scott
55 5 17	Michelle Bailey
14 2 5	Doris Rhodes
56 3 4	Ramiro Collins
35 9 17	Tammy Fortune
53 9 1	Ella Doyle
9 3 9	Marshall Lopez
27 5 30	Andrea Benton
57 10 9	Aubrey Aguilar
70 10 17	Roy Hill
42 3 18	Wade Hutchings
38 0 13	Cynthia Vaughn
11 8 27	Alan Orosco
61 10 24	Eugenia Norman
10 0 18	Janet Bailey
45 3 2	Carley Webb
29 6 15	Gary Perry
51 7 20	Valerie Arevalo
71 8 25	Yuonne Dean
47 1 12	Marie Hampton
39 6 3	Laurence McDaniel
86 7 16	Aaron Reeves
85 6 26	Janice Franklin
