3430
29 6 7	Myron Dunn
56 5 19	Eugenia Bowen
56 2 13	George Williams
14 1 13	Anna Meyer
82 9 16	Sharon Adams
34 0 5	Terry Alexander
34 10 9	Kasie Butler
44 1 15	Aubrey Jones
15 9 5	Erica Roberts
20 6 26	Joe Drake
64 5 15	Dennis Perry
56 3 16	Joe Ball
30 8 19	Pamala King
33 10 6	Rachel Baumann
68 8 14	Max Harrington
45 5 23	Karen Vargas
29 2 0	Carley Anderson
40 5 1	Dexter Dunn
86 3 24	Catherine Bailey
89 5 30	Max Sterling
83 8 6	Raymond Dunn
17 6 15	Elijah Carvalho
70 1 17	Clark Harrison
60 6 7	Timothy Rodriguez
9 4 9	Earnest Henderson
90 9 26	Jane Huddleston
28 11 2	Bobby Henderson
54 9 2	Christopher Duong
33 8 0	Amanda Scott
27 4 29	Lucia Meyer
53 2 23	Martin Reed
79 4 24	Darrin Carvalho
45 5 16	Dani Pulliam
53 6 17	Lucia Gonzalez
82 3 6	Jonathan Clark
29 0 3	David Reddick
23 1 20	Natasha Hill
75 6 15	Joshua Lopez
41 2 11	Delaine Stokes
66 6 2	Lindsay Patterson
17 8 0	Jackeline Baldwin
71 2 19	Barbara Bennett
61 2 10	Brian Ross
12 2 25	Antoinette Torres
54 9 16	Marion Morgan
79 4 25	Khadijah Vega
36 10 13	Shanelle Duong
63 4 24	Eloise Holland
25 3 17	Shanelle Hunt
88 0 27	Aaron Hindman
69 3 8	Pamela Thompson
61 5 28	Timmy Aguilar
81 0 20	Hugh Mabry
25 2 13	Myron Perez
78 10 17	Amanda Allen
56 10 14	Stasia Ruiz
10 4 24	Nicholas Aaron
73 9 18	Alycia Vaughn
42 6 4	Val Wagner
77 4 28	Earnest Diaz
71 2 10	Annie White
47 10 21	Walter Bryant
39 6 29	Laurence Diaz
75 10 12	Belinda Harris
55 8 20	Kenneth Bass
11 4 25	Rosie Jenkins
74 11 0	Sharon Turner
69 8 10	Cynthia Huddleston
23 6 23	Barbara Lopez
39 2 14	Clark Jones
20 8 20	Josphine Baker
18 6 0	Janice Payne
90 2 30	Patricia Stokes
44 11 30	Terence Price
63 8 26	Collen Carter
15 4 6	Terence Pibbles
35 10 29	Jennifer Collins
14 5 3	Heidi Lee
84 11 1	Rose Meyer
66 4 5	Howard Wilson
8 3 30	Brian Rhodes
43 9 22	Janice Gonzalez
11 2 4	Gregory Collins
80 11 29	Christine Bryant
27 10 27	Kenneth Williams
38 4 9	Maria Anderson
54 8 29	Margaret Yoon
12 6 17	Martin Edwards
36 8 30	Lillian Bowen
21 3 0	Johnathan Dennis
75 4 24	Wanda Payne
21 11 18	Judith Platt
29 3 13	Dexter Willis
76 10 12	Nicolette Gonzalez
34 7 4	Tracy Mccune
9 6 6	Brian Wagner
10 7 25	Norman Dennis
12 6 19	Kim Henderson
25 7 29	Lynn Hardy
67 5 1	Melita Russell
69 2 19	Patti Seymore
64 7 1	Vera Sanchez
22 6 9	Wilmer Coleman
57 11 7	Doris Benton
48 8 14	Casey Smith
22 10 23	Joe Hale
69 3 9	Jonathan Garcia
55 5 1	Lonnie Sherman
66 9 15	Hsiu Jenkins
17 11 30	Casey Gray
11 3 2	Treva Blanton
42 1 17	Kathy Campbell
22 9 30	Melita Hubbard
67 0 11	Patricia Simpson
28 11 18	Sharon Aaron
12 8 20	Ramiro Graves
85 4 0	Inez Vargas
72 10 9	Eileen Padilla
27 9 0	Wayne Simpson
66 0 10	Kim Cook
8 10 29	Stasia Davis
46 10 20	Elijah Orosco
43 3 3	Martin Rhodes
15 3 12	Levi Flaherty
51 9 13	Janice Pulliam
31 8 11	Brian Simpson
45 3 7	Kevin Ingram
13 8 4	Marilyn Wright
9 2 2	Jackie Lane
80 10 17	Carl Bailey
49 8 19	Lucia Gonzalez
39 6 0	Heidi Bowen
56 1 6	Amanda Thompson
31 6 10	Hugh Simpson
53 9 21	Samual Yoon
70 1 0	Michael Wood
10 5 2	Bobby Porterfield
40 10 14	Alice Kelly
53 0 27	Chris Seymore
14 1 16	Roy Powell
78 1 29	Susan Reyes
49 0 9	Anya Lindsey
31 7 7	Brian Moran
54 0 28	Maryalice Bowen
40 5 21	Sophia White
54 3 7	Krissy Wagner
26 8 21	Rufus Ward
11 1 17	Sophia Bowling
24 7 26	Dawne Reid
9 4 12	Karrie Caraballo
21 6 17	Wayne Vega
84 1 4	Shani Bryant
35 8 24	Wayne Bailey
33 11 24	Brandon Lindsey
41 11 5	Lillian Marsh
36 7 24	Anna Green
34 8 8	Marshall Orosco
88 11 0	Niki Thompson
79 2 14	Nelson Bryant
15 3 13	Maddie Faison
73 4 20	Lillian James
34 0 20	Treva Hampton
47 8 2	Dennis Butler
77 5 30	Eileen Perry
82 8 24	Anthony Brown
64 9 24	Annie Gonzalez
89 3 18	Wilson Tackett
22 11 24	Clark Morgan
60 9 4	Jason Meyer
26 1 25	Jane Hill
40 9 19	Kathleen Evans
62 2 19	Ivan Edwards
33 9 26	Pamela Holt
25 9 2	Robin Perez
20 1 6	Martha Watson
47 8 7	Anna Russell
33 5 3	Dwayne Gonzales
21 8 17	Ernest Wilkins
54 2 13	Kimberly Barber
21 2 27	Levi Perez
11 11 20	Bobby Flaherty
15 5 7	Glennis Main
27 6 26	Andre Morgan
48 7 10	Ken Robinson
77 0 8	Jacqueline Taylor
41 11 15	Delaine Ward
15 8 11	Jackie Vaughn
37 8 15	Terrell Lanham
61 1 10	Dani Moore
29 6 0	Gerard Hunt
54 2 12	Michael Dennis
15 8 29	Patricia Holloway
69 9 30	Mary Baker
64 3 4	Sophia Bennett
16 11 18	Timmy Vargas
72 7 19	Wayne Henderson
25 10 3	Kathleen Adams
58 1 23	Betty Coleman
21 5 15	Belinda Ross
41 8 29	Zachary Wilkins
59 6 15	Shanelle Torres
50 8 17	Dwayne Moore
21 10 17	Donald Rhodes
70 5 6	Eugene Reeves
40 8 16	Marjorie Holt
89 0 5	Randee Copeland
19 10 6	Frankie Bryant
52 0 30	Timmy McDonald
54 1 6	Diana Reyes
33 6 2	Brandon Harvey
61 9 15	Grace Coleman
55 5 7	Zachary Ruiz
27 9 13	Mary Brockman
10 1 22	Amanda Butler
44 4 9	Niki George
48 2 2	Calvin Scott
27 3 22	Joanne Barnes
54 10 17	Karen Hale
64 5 8	Khadijah Gonzalez
47 5 17	Mildred Dean
16 1 20	Willie Collins
22 9 13	Wayne Huddleston
42 7 12	Ashley Bailey
28 9 4	Ernest Perez
32 3 0	Anna Moran
70 0 19	Darrin Coleman
48 9 9	Stasia Copeland
73 11 19	Charles Stokes
39 9 25	Marilyn Rivera
56 10 12	Zada Huddleston
38 7 29	Calvin Hines
62 7 1	Calvin Fenton
83 10 20	Kelly Fortune
12 3 16	Diana Washington
8 9 24	Cheryl Henderson
84 1 15	Estelle Alexander
32 9 29	Patricia Bowling
33 1 28	Natalie Watson
34 7 29	Alan Morgan
71 8 11	Martha McDonald
79 8 24	Rufus Evans
23 11 1	Elvina Moore
67 5 27	Alycia Copeland
83 11 14	Nancy Aaron
38 8 24	Jeni Hall
44 3 25	Barbara Baldwin
51 6 9	Natasha Hardy
17 6 29	Elvina Watson
26 2 4	Samual Powell
19 8 5	Cheryl Dean
67 4 12	Natasha Bass
75 10 16	Annie Thomas
29 7 16	Antoinette Martin
48 5 28	Marilyn Barth
61 10 6	Mary Gonzalez
20 8 7	Charles Dean
36 6 30	Cecil Gonzalez
43 1 7	Melita Carr
16 5 25	Aida Adams
43 2 6	Cynthia Brooks
89 5 18	Maria Wood
58 1 25	Nancy Humphrey
39 5 16	Germaine Bennett
60 0 7	Wayne Henderson
18 1 14	Angelika Long
21 11 5	Lynn Patterson
86 8 4	Rufus Campbell
75 10 21	Anya Williams
14 8 8	Catherine Barnes
89 8 17	Adam Clark
27 7 25	Kasie Robinson
78 8 18	Lonnie Doyle
49 3 13	Aida Townsend
47 11 24	Andres Aguilar
68 5 10	Elvina Lee
57 8 9	Eloise Reed
53 10 13	Jane Townsend
25 8 1	Terence Porterfield
66 6 30	Eliana Wilson
70 5 28	Aubrey Porterfield
83 8 0	Dani McDonald
14 6 21	Dawne Kelley
65 6 22	Levi Roland
64 1 15	Kathleen Perry
87 4 25	Walter Kelly
39 3 18	Spencer Shuman
71 3 8	Cynthia Harrington
52 8 4	Jackie Wood
37 2 5	Felipe Marsh
8 5 14	Patti Hernandez
36 7 8	Antoinette Norman
77 2 24	Dexter Benton
34 9 22	Gary Butler
61 7 20	Calvin Harrington
38 8 29	Valerie Hall
72 9 24	George Hines
62 11 14	Antoinette Jenkins
66 7 2	Adam Reyes
45 4 30	Delaine Hampton
87 11 15	Brian Garcia
28 6 20	Hugh Thompson
34 4 27	Ronald Townsend
82 8 21	Annie Cox
52 8 18	Diane Wilkins
44 9 2	Timmy Pulliam
11 10 25	Josphine Vega
64 0 16	Belinda Torres
42 3 1	Belinda Hardy
16 9 10	Rufus Dean
36 11 15	Mildred Flynn
88 10 12	Annie Aaron
16 6 11	Sherri Flaherty
47 8 19	Lila Reddick
50 7 17	Amanda Shuman
17 5 22	Nicholas Huddleston
23 1 1	Rosie Brooks
43 2 25	Randee Parker
81 0 10	Andres Pulliam
30 9 10	Ken Flowers
21 4 17	Clayton Sanders
44 5 25	Eileen Collins
27 10 6	Martin White
29 5 18	Felipe Arevalo
51 5 7	Walter Rivera
33 4 9	Deborah Sanders
79 11 13	Kim Thompson
53 7 8	Melita Walters
13 11 12	Carley Yoon
62 7 30	Alejandro Davis
27 10 9	Ramiro Morgan
11 0 0	Zachary Sanders
72 1 27	Johnathan Roland
56 9 9	Kathy Alexander
75 8 9	Andrea Rogers
54 5 6	Mary Steadman
22 5 18	Aaron Bowen
80 8 3	Andres Garcia
31 10 14	Brandon Griffin
17 5 11	Josphine Paul
77 10 10	Walter Seymore
75 8 15	Nancy Flowers
61 8 18	Timmy Sherman
47 0 2	Donald Tate
66 2 7	Wanda Price
38 9 27	Mary Olvera
85 4 27	Lila Doyle
30 10 4	Joe Campbell
28 2 0	Roger Willis
17 6 11	Krissy Perez
54 0 0	William Roland
51 1 1	Maddie Tate
79 4 16	Anthony Morris
8 8 12	Dennis Patterson
64 11 20	Jorge Carvalho
18 5 3	Bryant Garcia
44 10 14	Myron Howard
87 10 2	Andrew Reed
61 1 29	Bobby Pibbles
53 1 11	Margaret Tate
84 10 24	Hugh Sherman
56 11 11	Katherine Horan
64 3 15	Maryalice Hines
71 7 30	Shanelle Vargas
90 5 22	Stasia Pibbles
39 4 22	Grace Flores
74 9 5	Steve Price
72 2 30	Laurence Kelley
28 0 29	Alan Hudson
47 9 18	Kim Campbell
23 6 7	Yuonne Morris
12 6 20	Zachary Martin
75 2 26	Margaret Campbell
59 5 21	Jackeline Wright
84 10 1	Wilson Bennett
22 1 14	Kenneth Doyle
71 10 30	Myron Bowen
63 3 27	Wilson Roy
81 10 5	Sherri Platt
43 2 0	Judith Lamb
66 5 20	Joe Duong
86 7 3	Joe Huddleston
32 1 5	Nancy Bennett
22 6 4	Myron Browne
10 6 15	Lindsey Patterson
42 3 0	Jack Vargas
50 7 24	Kathleen Henderson
81 0 7	Pamala Benton
31 0 24	Terry Taylor
70 2 14	Helen Holland
50 9 15	Earl Taylor
18 8 6	Ella Rogers
19 5 26	See Faison
36 2 19	Steve Powell
44 6 11	Raymond Alvarado
23 5 29	Catherine Duong
52 2 12	Janet Grantham
58 3 11	Sophia Phillips
59 7 19	Melita Caraballo
84 5 12	Betty Hubbard
68 9 24	Richard Casey
39 3 22	Rufus Hamilton
55 0 2	Alma Blanton
41 7 12	Nelson Grantham
56 2 13	Elvina Phillips
82 6 26	Kasie Morris
58 0 17	Laura Tackett
37 4 15	Randee Perkins
82 7 25	Robin Butler
90 10 9	Kevin Bryant
72 9 16	Joe Gonzalez
14 0 12	Karen Buchanan
35 3 14	Arthur Gray
15 3 4	Lonnie Lindsey
22 6 25	Zachary Weaver
62 1 8	Treva Hughes
88 9 19	Ken Duong
69 2 15	Ryan Reddick
61 0 7	Melita Harris
43 5 13	Inez Barber
16 7 6	Brandon Ingram
11 11 2	Maria Hardy
67 10 10	Lonnie Lewis
83 11 30	Andrew Sanchez
13 2 25	Jackie Sullivan
36 10 14	Fred Nunez
69 7 18	Jack Norman
53 0 9	Salvador Bell
27 0 20	Rosie Russell
72 5 4	Charlene Olvera
16 5 14	Margaret Franklin
84 1 13	Nicholas Faison
79 2 22	Eugene Hernandez
63 10 15	Salvador Flaherty
36 4 28	Irene Buchanan
54 7 22	Deborah Powell
88 3 1	Joshua Diaz
79 1 27	Kelly Jenkins
32 9 28	Candelaria Reddick
88 4 27	Alan Vargas
51 11 1	Eliana Bailey
20 0 6	Shani Hale
33 11 16	Darrin Simmons
28 0 5	Kenneth Horowitz
65 1 23	Gordon Flores
64 7 9	Kim Perry
39 1 3	Vera Russell
10 2 1	Diana Anderson
35 0 12	Shani Perez
29 0 2	Kathy Allen
79 9 0	Rachel Simmons
20 5 24	Ryan Bowling
82 2 10	Tammy Morgan
55 1 16	William Morgan
87 7 6	Timmy Dennis
65 4 4	Lindsey Howard
9 6 11	Marilyn Seymore
31 2 12	Spencer Allen
11 1 7	Denise King
54 0 5	Lila Campbell
39 3 22	Ivan Bowling
71 10 7	Shrimply Fenton
78 11 19	Jenifer Butler
29 3 17	Walter Bell
75 3 3	Adam Stokes
42 1 3	Denise Henderson
13 4 22	Johnny Collins
89 7 22	Eugene Roy
22 9 5	Maria Gonzalez
38 2 19	Kim Hale
21 1 12	Marshall Perry
23 5 26	Wilmer Baker
20 1 15	Rafael Hernandez
69 3 10	Jacqueline Davis
56 5 14	Ella Horan
50 1 27	Lindsay Hughes
79 8 1	Gregory Williams
45 0 9	George Porterfield
73 1 21	Joe Rodriguez
83 6 6	Arthur Mabry
79 5 13	Margaret Mccune
46 9 3	Andres Alexander
17 8 27	Gordon Rhodes
54 8 16	Pamela Harrison
55 1 0	Yuonne Sanchez
15 11 23	Tracy Bryant
20 0 6	Patti Walters
68 2 28	Wilmer Barth
65 10 17	Angie Tate
16 6 11	Margaret Marsh
79 4 20	Elijah Wilson
33 6 9	Wanda Brockman
82 9 0	Estelle Morris
66 5 18	Jane Bass
65 7 18	Rachel Marsh
84 10 25	Lynn Lee
32 4 4	Eugenia Gracia
84 7 5	Joe Wagner
86 4 21	Marie Gracia
10 8 4	Norman Morris
70 2 1	Carley Bennett
60 3 12	Wanda Lee
44 6 29	Wilmer Wagner
42 9 10	Earl Huddleston
81 2 15	Timothy Fenton
40 6 9	Mildred Rogers
64 1 19	Oretha Hudson
68 7 5	Zada Lewis
68 9 27	Rosie Campbell
57 11 1	Jackie Howard
43 5 18	Ronald Dennis
47 7 19	Lucia Bennett
17 1 9	Kim Martinez
10 6 0	Judith Huddleston
27 6 9	Jose Baldwin
73 0 1	Spencer Collins
84 8 10	Pamala Coleman
78 11 26	Nicholas Sullivan
80 4 23	Martin Maldonado
56 11 14	Eileen Martinez
26 11 15	Christopher Coleman
52 11 15	Jean Willis
47 1 15	Lindsay Lee
59 2 25	Angie Huddleston
10 7 24	Patricia George
67 9 4	Lindsay Caraballo
56 8 11	Jane Ramirez
49 8 8	Calvin Neal
88 9 13	Kenneth Brown
58 5 2	Erica Perkins
77 6 8	Lila Howard
86 7 3	Kim Baker
19 6 29	Catherine Blanton
60 0 16	Deborah Brooks
74 8 19	Niki Adams
48 10 17	Elijah White
32 10 19	Barbara Walker
47 2 14	Eugenia Banks
11 8 13	Kevin Brockman
18 0 24	Rosie Thomas
15 2 14	Shrimply Boyle
74 0 9	Shanelle Reddick
18 9 17	Lila Foster
43 8 28	Val Sullivan
79 4 2	Nicholas Stokes
79 7 12	Martin Martin
56 8 12	Julie Hughes
37 4 8	Kenneth Carr
33 10 5	Chris Evans
48 9 18	Diane Mabry
61 4 9	Oretha Hutchings
69 1 27	Helen Knight
10 0 21	Grace Casey
47 11 0	Angel Garcia
80 11 26	Patricia Robinson
41 1 20	Jason Anderson
17 8 29	Casey Pulliam
63 10 28	Maria Tackett
59 10 3	Zachary Diaz
35 3 30	Dennis Thomas
74 10 22	Dwayne Hampton
57 8 25	Rufus Porterfield
85 7 21	Rosie Carr
68 10 11	Wayne Butler
14 3 11	Lillian Mabry
71 2 30	Norman Carter
10 11 29	Judith Sterling
48 10 13	Clark Harris
75 4 15	Marshall Drake
90 7 13	Devin Hughes
25 4 15	Angel Goodrich
65 6 9	Darrin Price
21 4 27	Brian Williams
47 10 22	Chris Kelley
9 3 5	Denise Hughes
85 7 8	Rose Cook
74 11 27	Betty Bryant
67 1 20	Alejandro Carter
37 1 22	Jason Barber
84 0 2	Michael Stokes
34 11 16	Kevin Cooper
55 0 8	Aaron Lanham
80 4 14	Mary Hudson
30 9 15	Kevin Wright
31 3 23	Lillian Reddick
83 3 27	Cynthia Hudson
33 6 29	Kimberly Roberts
78 5 23	Rebecca Ward
84 9 0	Niki Brockman
56 11 20	Alan Walker
43 10 5	Cecil Buchanan
41 3 25	Gordon Alvarado
62 6 30	Earnest Hernandez
83 5 12	Candelaria Jones
20 1 25	Pamela Lane
81 4 9	Jackeline Simpson
58 1 9	Norman Carvalho
37 11 0	Natalie Nelson
28 3 10	Timothy Webb
68 5 23	Denise Rhodes
71 10 27	Melissa Harris
16 6 4	Melita Webb
78 2 5	Diane Phillips
13 1 17	Charles Wilkins
26 6 19	Judith Padilla
73 0 4	Martha Sanders
26 10 11	Marshall Knight
82 5 25	Johnny Barlow
55 4 4	Eileen Padilla
20 4 21	Julie Garcia
24 2 28	Timothy Taylor
70 3 17	Tammy Dean
87 7 7	Patricia Fortune
14 8 5	Ramiro Morgan
88 1 27	Christine James
72 11 18	Herma Hughes
78 7 6	Antoinette Roland
89 3 28	Willie Hamilton
24 8 26	Dennis Pulliam
75 8 12	Patti Walker
39 0 5	Hugh Flynn
24 6 17	Benjamin Holland
33 3 11	Samual Fleming
31 10 4	Earnest Holland
56 2 13	Kim Campbell
30 0 18	Elijah Hill
55 9 3	Brandon Henderson
50 3 11	Sophia Simmons
74 7 9	Jacqulyn Lee
32 8 6	Ramiro Green
15 3 9	Hugh Johnson
8 2 29	Nelson Harrington
59 6 0	Joe Weaver
71 4 11	Kevin Young
54 1 10	Martha Hernandez
46 10 17	Jason Humphrey
11 6 4	Angelika Price
51 11 14	Eugenia Wheeler
83 11 6	Denise Perkins
18 8 15	Charlene Diaz
14 7 16	Antoinette Tate
71 11 22	Jose Perez
8 3 18	Dexter Sanders
79 5 25	Earnest Lee
48 9 18	Timothy Fenton
32 1 6	Eileen Simmons
44 5 7	Mary Nunez
89 2 21	Wilson Hampton
57 2 16	Rose Perez
84 5 7	Myron Tackett
57 1 21	Ivan Sanchez
35 3 30	Lillian George
21 4 3	Cheryl Howard
13 0 5	Natalie Richardson
12 3 10	Lindsay Coleman
64 11 8	Terrell Butler
22 4 28	Marilyn Hernandez
27 9 8	Joe Cooper
67 6 20	Diana Wheeler
63 11 15	Christine Weaver
83 10 23	Randee Doyle
36 0 26	Terrell Baldwin
63 8 20	Robin Bailey
44 6 10	Melita Duong
63 10 29	Joanne Norman
48 5 1	Oretha Wheeler
63 8 16	Margaret Olvera
36 5 16	Edward Duong
27 2 14	Timothy Dunn
59 1 26	Nancy Lanham
22 4 2	Zada George
51 0 11	Sherri Hall
78 7 2	Andres Price
80 6 14	Pamela Payne
90 2 20	Steve Carter
35 10 18	Aubrey Willis
39 11 23	Johnny Thompson
25 10 17	Gary Hardy
46 3 3	Charlene Dunn
78 2 21	Mary Sherman
43 6 23	Ella Barrett
65 4 23	Pat Bowling
21 6 1	Roger Nunez
18 5 21	Rosie Moody
86 8 8	Wayne George
44 7 10	Krissy Freeman
83 6 6	Lonnie Bryant
35 9 7	Roy Ward
52 0 26	Joshua Dean
67 8 16	Erica Morgan
41 0 17	Martin Hutchings
89 10 0	Felipe Reeves
56 0 13	Rose Faison
64 0 0	Elijah Powell
73 4 13	Jackeline Copeland
76 9 17	Elvina Maier
38 4 18	Julie Coleman
11 7 27	Sophia Benton
59 4 13	Susan Morris
86 10 12	Marion Cook
40 1 26	William Howard
40 10 15	Claudine Payne
64 0 8	Kasie Nelson
53 4 16	Martin Campbell
41 9 22	Jenifer Shuman
84 8 10	Darrin Henderson
70 6 24	Lonnie Freeman
88 1 5	Martin McDaniel
16 5 17	Richard Banks
21 5 29	Jason Lamb
31 4 23	Edward Wilkins
82 0 30	Lillian Grantham
74 0 5	Dwayne Patterson
19 10 3	Hugh Pulliam
47 9 24	Wanda Maier
62 2 12	Felipe Goodrich
64 2 8	Maddie Horan
61 10 10	Judith Lane
64 8 8	Martin Doyle
82 11 0	Dorothy Sterling
54 2 27	Maddie White
19 0 12	Annie Johnson
69 8 5	Frankie Edwards
81 6 14	Mildred Nelson
8 6 9	Germaine Ross
52 4 10	Wade Buchanan
31 2 30	Spencer Howard
8 4 2	Brandon Cox
40 0 6	Jackeline Webb
29 6 21	Lindsey Lanham
41 8 22	Rachel Perez
77 3 30	George Willis
74 0 12	Johnathan Fleming
67 7 27	Diane Hall
27 1 5	Glennis Ross
89 9 14	Clark Sherman
71 3 28	Andres Lane
50 10 30	Brandon Kelly
11 11 28	Nicolette Brockman
86 1 1	Glennis Edwards
63 10 22	Martin Flaherty
60 9 0	Mary Fenton
80 7 19	Alice Yoon
70 2 13	Pamela Campbell
21 3 29	Mary Cooper
84 2 19	Anya Bowen
56 2 20	Barbara Bryant
74 4 0	Johnny Tackett
74 6 27	Barbara Blanton
33 10 28	Jackeline Gonzalez
71 0 15	Nelson Ball
85 2 18	Janice Hutchings
10 10 22	Laurence Barth
24 9 21	Irene Scott
84 7 22	Laura Jenkins
43 2 22	Mary Washington
15 8 1	Jason Sherman
58 2 3	Brian Kelley
13 3 4	Mildred Roland
23 5 14	Adam Banks
26 8 10	Lillian Howard
65 11 17	Raymond Rogers
53 2 27	Lindsay Hubbard
60 0 10	Maddie King
90 5 30	Kevin Hubbard
21 8 3	Laurence Coleman
75 2 19	Jean Alexander
18 2 19	Amanda James
25 8 27	Terence Cook
51 10 3	Willie Martin
66 1 24	Dennis Walker
20 11 1	Max Ward
60 6 11	Dorothy Knight
37 8 20	Norman Hudson
45 3 0	Jack Watson
85 8 24	Casey Bennett
49 5 4	Myron McDaniel
54 5 2	Clarence Hunt
56 7 5	Niki Maldonado
69 10 25	Jorge Butler
63 3 3	Joe Brooks
30 2 27	Hsiu Brockman
66 2 16	Betty Johnson
44 6 9	Anna Dunn
63 7 8	Kathy Aguilar
68 5 15	Jacqulyn Baldwin
44 10 27	Lillian Ruiz
62 5 26	Randee Hale
28 4 23	Ashley Jones
66 2 18	Kathleen Harris
90 9 11	Sherri Bailey
71 6 13	Laura Nunez
52 10 4	Kim Porterfield
36 3 1	Nelson Aaron
76 3 2	Janice Griffin
64 9 1	Tracy Walters
90 8 6	Wilmer Thompson
68 0 21	Andrew Sanders
36 0 24	Angelika Cooper
45 0 29	Charlene Lindsey
85 10 3	Catherine Martin
70 7 16	Kimberly Smith
25 8 0	Jason Clark
13 0 17	Glennis Miller
75 1 4	Robin Freeman
24 2 20	Michelle Goodrich
71 2 28	Ashley Lanham
14 5 0	Nancy Copeland
61 1 30	Michael Griffin
13 0 2	Shani Lopez
55 7 20	Jenifer Evans
90 1 4	Roger Lee
80 10 1	Claudine Diaz
19 4 24	Wilmer Turner
17 1 17	Nicholas Marsh
39 8 20	Gregory Roy
59 0 5	Annie Neal
14 2 1	Aaron Barth
16 4 21	Judith Perez
76 0 1	Annie Bell
20 2 17	Joshua Platt
55 0 17	Calvin Parker
58 3 30	Heidi Alexander
12 3 10	Angelika Price
17 0 11	Teresa Garcia
73 4 10	Howard Mitchell
41 6 8	Stasia Adams
26 7 8	Angie Coleman
47 3 22	Stasia Gonzalez
26 1 25	Robin Fleming
46 1 10	Clayton Nelson
17 11 1	Judith Hindman
84 3 13	Helen George
90 11 18	Natasha Kelley
28 5 23	Carley Hutchings
73 6 29	Darrin Price
79 7 3	Ryan Faison
70 9 9	Andres Scott
44 7 16	Chris Alexander
40 10 24	Sherri Caraballo
45 7 14	Ken Harvey
56 7 19	Eloise Nunez
61 5 4	Alice Campbell
83 8 17	Christine Phillips
26 2 4	Valerie Payne
74 9 5	Christine Thomas
16 8 7	Jane Parker
45 11 9	Anya Jenkins
41 9 10	Helen Sanchez
79 1 15	Diana Reddick
48 11 8	Herma Hill
11 2 8	Laura Richardson
76 8 27	Val Knight
75 8 24	Lonnie Dean
31 6 12	Hugh Young
87 9 17	Adam Foster
65 9 30	Eileen Hunt
81 11 19	Jack Lindsey
33 7 17	Natasha Hollins
12 8 3	Marjorie Huddleston
78 10 11	Clark Simmons
49 10 2	Amanda Rogers
80 4 12	Carl Bass
19 7 15	Doris Ruiz
38 2 27	Marilyn Horan
11 3 26	Anya Cox
71 11 26	Julie Lopez
77 5 21	Treva Duong
38 6 9	Valerie Hardy
43 0 7	Rose Campbell
57 11 18	Sophia Moore
15 9 1	Sharon Padilla
13 9 16	Denise Griffin
74 5 28	Treva Medina
81 4 5	Wayne Sanders
68 10 1	Robin Webb
60 6 29	Stephenie Buchanan
74 9 20	Norman Miller
35 2 26	Jack Boyle
56 5 10	Eileen Horowitz
37 1 15	Mary Bass
85 10 19	Steve Lane
38 6 21	Martha Griffin
46 4 30	Kelly Morgan
9 8 6	Terrell Hernandez
83 1 6	Earnest Holland
23 3 26	Casey Goodrich
12 9 19	Elvina Murphy
10 1 20	Gregory Pibbles
41 4 19	Karrie Dean
47 3 20	Deborah Neal
9 3 27	Pamala Bryant
56 7 10	Susan Watson
41 5 27	Andre Wood
16 11 24	Hsiu Wilson
67 10 3	Janet Hernandez
38 2 23	Marion Barnes
68 4 14	Myron Roy
81 10 11	Johnathan Mccune
80 2 3	Nancy Peterson
60 3 6	Walter Ball
8 3 9	Wanda Weaver
10 4 29	George Anderson
69 11 9	Fred Price
43 6 4	Aida Main
57 8 5	Katherine Pulliam
32 7 17	Donald Gonzalez
21 0 17	Heidi Boyle
74 10 6	Lillian Orosco
23 6 4	Val Harris
54 1 9	Kimberly Walker
42 3 5	Natasha Parker
79 9 25	Angelika Russell
57 0 0	Deborah Moore
51 1 1	Angel Stokes
41 11 28	Rufus Flores
41 0 28	Maryalice Benton
82 5 30	Samual Clark
54 11 17	Pamala Gonzales
10 7 28	Eugene Foster
8 6 4	Jane Humphrey
64 5 0	Janice Gracia
68 0 28	Frankie Brooks
48 7 28	Jane Benton
85 2 24	Eliana Hubbard
25 0 15	Carl Flaherty
42 0 6	Lonnie Pibbles
40 11 30	Lynn Hampton
87 11 19	Catherine Mabry
22 2 5	Andre Washington
18 5 18	Felipe Neal
63 4 6	See Browne
55 1 23	Carl Price
83 3 3	Kelly Bryant
42 3 17	Katherine Simpson
81 0 23	Andrea Edwards
53 0 4	Ken Hubbard
29 2 28	Benjamin Browne
79 2 7	Johnathan Sullivan
69 7 19	Willie Johnson
42 6 7	Lillian Mccune
64 1 18	Jackeline Hamilton
14 9 26	Dennis White
71 6 9	Jeni Richardson
22 2 29	Jason Tiller
61 3 10	Anthony Alexander
20 1 6	Marie Campbell
77 6 18	Lonnie Blanton
78 5 9	Maddie Hudson
49 3 6	Jonathan Barber
47 4 12	Dexter Martinez
84 5 23	Joshua Harrison
49 11 29	Marshall Harrison
33 4 0	Kenneth Maier
20 1 18	Krissy Washington
71 11 23	Alma White
65 1 19	Earl Harrington
18 7 19	Michael Holloway
77 1 28	Marion Patterson
51 3 23	David Mitchell
43 2 16	Maria Ramirez
77 7 14	Jackie Peters
18 0 2	Andres Seymore
78 4 11	Ashley Shuman
44 5 17	Katherine Price
54 2 29	Donald Dennis
23 3 6	Antoinette Rivera
62 11 18	Doris Olvera
19 8 14	Erica Brown
85 0 25	Chris Freeman
